,Thousands of euros,,,,,,
,Income statement,,,,Income and expenses credited/(charged) directly in equity,,
,,,,,,,
Balance income & expenses,,,"18,673",,,,(414)
,Increases,Decreases,Total,,Increases,Decreases,Total
Income tax,,,"(6,444)",,,,(139)
Permanent differences,,,,,,,
- Individual,"1,156",(121),"1,035",,-,-,-
- Due to tax consolidation,-,"(9,892)","(9,892)",,-,-,-
Temporary differences,,,,,,,
- Individual,,,,,,,
- originating in the period,967,(34),933,,-,-,-
- originating in previous periods.,372,"(1,009)",(637),,-,-,-
- Due to tax consolidation,,,,,,,
- originating in the period,-,"(2,995)","(2,995)",,-,-,-
- originating in previous periods.,"2,298",-,"2,298",,-,-,-
Taxable income,,,"2,971",,,,(553)
