,,CURRENT PERIOD,PREVIOUS PERIOD,ACCUMULATED PERIOD,ACCUMULATED PREVIOUS PERIOD
,,(2nd HALF),(2nd HALF),30/06/2025,30/06/2024
(+) Net revenue,1205,,,314.590,329.336
(+/-) Change in inventories of finished products and work in progress,1206,,,(1.373),71.362
(+) Work performed by the company on its assets,1207,,,232,562
(-) Supplies,1208,,,(117.766),(205.275)
(+) Other operating income,1209,,,,-
(-) Employee benefit expenses,1217,,,(70.417),(64.871)
(-) Other operating expenses,1210,,,(60.286),(61.394)
(-) Amortization and depreciation charges,1211,,,(14.748),(13.446)
(+) Allocation of grants for non-financial assets and other,1212,,,715,204
"(+/-) Impairment of intangible assets and property, plant & equipment",1214,,,,
"(+/-) Gains/(losses) on disposal of intangible assets and property, plant & equipment",1216,,,,
(+/-) Other gains/(losses),1215,,,,
= OPERATING PROFIT/(LOSS),1245,,,50.947,56.478
(+) Finance income,1250,,,707,100
a) Interest income calculated according to the effective interest rate,1262,,,707,100
b) Other,1263,,,,
(-) Finance expenses,1251,,,(1.328),(644)
(+/-) Change in fair value of financial instruments,1252,,,(533),67
(+/-) Gains/(losses) derived from the reclassification of financial assets at amortized cost to financial assets at fair value,1258,,,,
(+/-) Gains/(losses) derived from the reclassification of financial assets at fair value with changes in other comprehensive income to financial assets at fair value,1259,,,,
((++//--)) EGxacinhsa/n(lgoes sreaste) odniff eimrepnaciremsent of financial,1254,,,(100),163
instruments,1255,,,,
(+/-) Gains/(losses) on disposal of financial instruments,1255,,,,
a) Financial instruments at amortised cost,1257,,,,
b) Other,1260,,,,
= FINANCE PROFIT/(LOSS),1256,,,(1.254),(314)
(+/-) Profit/(loss) of entities measured using the equity method,1253,,,(67),(22)
= PROFIT/(LOSS) BEFORE TAX,1265,,,49.626,56.142
(+/-) Corporate income tax,1270,,,(9.926),(11.804)
= PROFIT/(LOSS) FOR PERIOD FROM CONTINUING OPERATIONS,1280,,,39.700,44.338
"(+/-)Profit/(loss) for period from discontinued operations, net of taxes",1285,,,,
= CONSOLIDATED PROFIT/(LOSS) FOR PERIOD,1288,,,39.700,44.338
a) Profit/(loss) attributed to parent company,1300,,,39.736,44.345
b) Profit/(loss) attributed to non-controlling interests,1289,,,(36),(7)
