Temática,Sub-tema,Sub-sub-tema,Materialidad de impacto,Materialidad financiera
E1 Cambio climático,Adaptación al cambio climático,,,
,Mitigación del cambio climático,,,
,Energía,,,
E2 Contaminación,Contaminación del aire,,,
,Contaminación del agua,,,
,Contaminación del suelo,,,
,Contaminación de organismos vivos y recursos alimentarios,,,
,Sustancias preocupantes,,,
,Sustancias extremadamente preocupantes,,,
,Microplásticos,,,
E3 Agua y recursos marinos,Agua,Consumo de agua,,
,,Vertidos de agua,,
E4 Biodiversidad y ecosistemas,Factores de incidencia directa sobre la pérdida de biodiversidad,Contaminación,,
,,Cambio del uso de la tierra,,
,,Otros,,
,Incidencias sobre el estado de las especies,Tamaño de la población de las especies,,
E5 Uso de recursos y economía circular,"Entradas de recursos, incluida la utilización de los recursos",,,
,Residuos,,,
,Salidas de recursos relacionadas con productos y servicios,,,
