Temática,Sub-tema,Sub-sub-tema,Materialidad de impacto,Materialidad financiera
S4 Consumidores y usuarios finales,Incidencias relacionadas con la información para los consumidores o usuarios finales,Acceso a la información (de calidad),,
,,Privacidad,,
,Seguridad personal de los consumidores o usuarios finales,Salud y seguridad,,
,,Seguridad de una persona,,
,,Protección de los niños,,
,Inclusión social de los consumidores o usuarios finales,Acceso a productos y servicios,,
,,Prácticas de marketing responsables,,
G1 Conducta empresarial,Cultura corporativa,,,
,Corrupción y soborno,Casos,,
,,"Prevención y detección, incluida la formación",,
,Protección de los denunciantes,,,
,Bienestar animal,,,
,Compromiso político y actividades de los grupos de presión,,,
,"Gestión de las relaciones con los proveedores, incluidas las prácticas de pago",,,
Digitalización e inteligencia artificial,,,,
