Ejercicio financiero 2024,Actividades económicas,aímonoxaT al núges selbigele sedadivitcA . A,)aímonoxat al a natsuja es euq( selbinetsos etnemlatneibmaoidem sedadivitcA .1.A,"y otneiminetnam ed sopiuqe acitégrene ed aicneicife ,nóicalatsnI nóicaraper","socirtcéle ed y otneiminetnam ed sazalp sol senoicatse a saxena solucíhev sal )soicifide ne ed otneimacrapa y( ,nóicalatsnI nóicaraper arap soicifide agracer ne","socirtcéle ed y otneiminetnam ed sazalp sol senoicatse a saxena solucíhev sal )soicifide ne ed otneimacrapa y( ,nóicalatsnI nóicaraper arap soicifide agracer ne","y ed otneiminetnam saígoloncet elbavoner ed aígrene ,nóicalatsnI nóicaraper",selbinetsos )aímonoxat sedadivitca etnemlatneibmaoidem al a )1.A( natsuja ed xEpO es euq(,sarodatilicaf :selauc sal eD,nóicisnart :selauc sal eD
2024,Códigos,,,CCM 7.3,CCM 7.4,CCM 7.5,CCM 7.6,,,
,OpEx (€),,,127.912,2.869,8.095,8.007,146.883,146.883,0
,"Proporción de OpEx, año 2024",,,"0,343 %","0,008 %","0,022 %","0,021 %","0,394 %","0,394 %",0%
Criterios de contribución sustancial,Mitigación del cambio climático,,,S,S,S,S,"0,394 %","0,394 %",0%
,Adaptación al cambio climático,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Agua,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Contaminación,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Economía circular,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Biodiversidad,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"")",Mitigación del cambio climático,,,S,S,S,S,S,S,S
,Adaptación al cambio climático,,,S,S,S,S,S,S,S
,Agua,,,S,S,S,S,S,S,S
,Contaminación,,,S,S,S,S,S,S,S
,Economía circular,,,S,S,S,S,S,S,S
,Biodiversidad,,,S,S,S,S,S,S,S
,Garantía mínimas,,,S,S,S,S,S,S,S
,"Proporción OpEx que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2023",,,"0,081 %",N/A,"0,041 %","0,013 %","0,136 %","0,136 %",0%
,Categoría actividad facilitadora,,,F,F,F,F,,F,
,Categoría actividad de transición,,,,,,,,,T
