,,Equity,,,,,,,
,,,Share,,,Other,Adjust-,"Grants, donations",
,,Share,premium,Treasury,Profit/,equity,ments for,and,Total
,,capital,and reserves,stock,(loss) for the period,instru- ments,changes in value,legacies received,equity
Closing balance at 01/01/2019,3010,3.364,235.163,(8.812),15.581,,(3),3.128,248.421
Adjustments for changes in accounting policies,3011,,,,,,,,
Adjustments for errors,3012,,,,,,,,
Adjusted opening balance,3015,3.364,235.163,(8.812),15.581,,(3),3.128,248.421
I. Total recognized income/(expenses),3020,,,,25.553,,,(378),25.175
II. Transactions with shareholders or owners,3025,,1.682,(1.529),(4.420),,,,(4.267)
1. Capital increases/(reductions),3026,,,,,,,,
2. Conversion of financial liabilities to equity,3027,,,,,,,,
3. Distribution of dividends,3028,,,,(4.420),,,,(4.420)
4. Treasury stock transactions (net),3029,,1.682,(1.529),,,,,153
5.Increases/(reductions) due to business combinations,3030,,,,,,,,
6. Other transactions with shareholders or owners,3032,,,,,,,,
III. Other equity transactions,3035,,11.161,,(11.161),,,,
1. Payments based on equity instruments,3036,,,,,,,,
2. Transfers between equity items,3037,,11.161,,(11.161),,,,
3. Other changes,3038,,,,,,,,
Closing balance at 31/12/2019,3040,3.364,248.006,(10.341),25.553,,(3),2.750,269.329
