Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
Cultura corporativa,,,,,
Operaciones propias,"El compromiso de ROVI con los principios de ética empresarial y transparencia, que se recogen en el Código Ético, contribuyen al conocimiento y cumplimiento de estos por parte de los miembros del Grupo.",Impacto positivo,Real,< 1 año,• Código Ético • Código Ético de Proveedores • Política de Competencia • Política de Cumplimiento Normativo • Política de Estrategia Fiscal • Política de Remuneraciones de los miembros del Consejo de Administración • Política de Prevención de Conflicto de Interés • Política de Normas de uso de los Recursos TIC Grupo Rovi • Política del Sistema Interno de Información y Defensa del Informante
Operaciones propias,"El marco de cumplimiento normativo de ROVI promueve la aplicación de estándares de ética, calidad, profesionalidad y de buenas prácticas en la industria farmacéutica.",Impacto positivo,Real,< 1 año,
Operaciones propias,La implantación de la Política de Competencia previene contra acciones de competencia desleal y prácticas que afecten al mercado libre.,Impacto positivo,Real,< 1 año,
Operaciones propias,"La formalización de KPIs de sostenibilidad mediante el Plan Director de ESG aprobado por el Consejo de Administración, garantiza la aplicación de forma transversal de estos aspectos en la cultura corporativa de la Compañía.",Impacto positivo,Real,< 1 año,
Operaciones propias,"La adecuada gestión de la propiedad intelectual e industrial de ROVI y terceros ayuda a proteger los activos intangibles de la Compañía, como derechos de autor, secretos comerciales, patentes y marcas, entre otros.",Impacto positivo,Real,< 1 año,
Operaciones propias,"La protección de los intereses de los accionistas minoritarios y la garantía de independencia de los consejeros independientes y del Comité de Auditoría, garantiza una gestión eficaz y transparente ante posibles conflictos de interés.",Impacto positivo,Real,< 1 año,
Operaciones propias,"La prevención de conflictos de interés mediante diversos mecanismos por parte de ROVI, como disponer de consejeros independientes y políticas corporativas en la materia, garantiza el buen gobierno de la Compañía.",Impacto positivo,Real,< 1 año,
Operaciones propias,La asignación de objetivos anuales de sostenibilidad a los consejeros ejecutivos garantiza la integración de los aspectos ESG en el negocio.,Impacto positivo,Real,< 1 año,
Operaciones propias,"La existencia de un Canal ético a disposición de proveedores, socios comerciales y empleados, gestionado por un tercero independiente, contribuye a la protección del denunciante.",Impacto positivo,Real,< 1 año,
Operaciones propias,"El desarrollo de nuevos proyectos del Área de I+D para la automatización de tecnología ISM® y la mejora en la fabricación de heparinas, conlleva una mejora en la eficiencia de los procesos que podría reforzar el compromiso de ROVI con el progreso científico y la búsqueda de soluciones que mejoren la calidad de vida.",Oportunidad,Potencial,1 - 5 años,
