,,,,Rating 2018,Balance 2018,,Rating 2017,Balance 2017
,,,,,,,,
,,,,,,,,
Italy,,,,BBB,"1,597",,-,-
Madrid,,,,BBB,"1,301",,BBB+,848
Portugal,,,,BBB,"1,134",,BBB-,"1,720"
Andalusia,,,,BBB-,598,,BBB+,419
Catalonia,,,,BBB-,595,,B+,854
Valencia,,,,BBB-,563,,BB,496
Canary Islands,,,,BBB-,333,,BBB+,174
Castilla la Mancha,,,,BBB-,268,,BBB-,126
Basque Country,,,,BBB+,211,,A,247
Extremadura,,,,BBB,131,,BBB,84
Cantabria,,,,BBB,120,,BBB,144
Aragón,,,,BBB,93,,BBB-,160
Other,,,,-,373,,-,391
,,,,,"7,317",,,"5,663"
