,,Equity attributed to parent company,,,,,,,
,,Equity,,,,,,,
,,,,,Profit/,,Adjust-,Non-,
,,Share,Share premium,Treasury,(loss) for the per.,Other equity,ments for,controlling,Total equity
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Opening balance at 01/01/2025,3110,3.074,437.641,(5.545),136.881,-,(23),9.512,581.540
Adjustments for changes in accounting policies,3111,,,,,,,,
Adjustments for errors,3112,,,,,,,,
Adjusted opening balance,3115,3.074,437.641,(5.545),136.881,,(23),9.512,581.540
I. Total recognized income/(expenses),3120,,,,39.736,,(18),(36),39.682
II. Transactions with shareholders or owners,3125,,(948),932,(47.911),,,-,(47.927)
1. Capital increases/(reductions),3126,,,,,,,,
2. Conversion of financial liabilities to equity,3127,,,,,,,,
3. Distribution of dividends,3128,,,,(47.911),,,,(47.911)
4. Treasury stock transactions (net),3129,,(948),932,,,,,(16)
5.Increases/(reductions) due to business combinations,3130,,,,,,,,-
6. Other transactions with shareholders or owners,3132,,,,,,,,-
III. Other equity transactions,3135,,88.785,,(88.970),,,1.605,1.420
1. Payments based on equity instruments,3136,,,,,,,,
2. Transfers between equity items,3137,,88.970,,(88.970),,,,
3. Other changes,3138,,(185),,,,,1.605,1.420
Closing balance at 30/06/2025,3140,3.074,525.478,(4.613),39.736,-,(41),11.081,574.715
