,Miles de euros,,,,,,
,Cuenta de pérdidas y ganancias,,,,Ingresos y gastos imputados directamente al patrimonio neto,,
Saldo ingresos y gastos,,,12.071,,,,(359)
,Aumentos,Disminuciones,Total,,Aumentos,Disminuciones,Total
Impuesto sobre Sociedades,,,(1.960),,,,(109)
Diferencias permanentes,,,,,,,
- Individuales,1.287 — 1.287,,,,— — — — — —,,
- De consolidación,—,— —,,,,,
Diferencias temporarias:,,,,,,,
- Individuales,,,,,,,
- con origen en el ejercicio,1.854,—,1.854,,— — — — — —,,
- con origen en ejercicios ant.,963 (2.517) (1.554),,,,,,
- De Consolidación,,,,,,,
- con origen en el ejercicio,— (12.274) (12.274) 13.715 — 13.715,,,,— — — — — —,,
- con origen en ejercicios ant.,,,,,,,
Base imponible previa,,,13.139,,,,(468)
