,,,,2020,,,,2019,,
,AVERAGE REMUNERATION* BY,,Men,,,Women,,Men,Women,Total variation
,PROFESSIONAL GROUP** /,,,,,,,,,
,GENDER,,,,,,,,,
,1,,,"16,447 €",,,"18,304 €","16,000 €","17,262 €",4%
,2,,,"17,467 €",,,"18,235 €","17,117 €","18,095 €",1%
,3,,,"19,408 €",,,"20,901 €","19,137 €","21,510 €",-1%
,4,,,"26,734 €",,,"26,299 €","26,350 €","25,951 €",1%
,5,,,"36,683 €",,,"34,342 €","36,492 €","33,925 €",1%
,6,,,"43,441 €",,,"36,584 €","43,960 €","34,910 €",1%
,7,,,"57,045 €",,,"53,880 €","53,905 €","50,705 €",6%
,8,,,"113,338 €",,,"105,013 €","104,044 €","102,851 €",6%
,0,,,"223,139 €",,,"135,803 €","226,024 €","132,203 €",0%
,Subsidiaries,,,"81,134 €",,,"58,366 €","71,545 €","66,091 €",1%
