,,CURRENT PERIOD,,,,
,,Significant share- holders,Directors and senior manage- ment,"Persons, companies or entities belonging to the group",Other related parties,Total
1) Customers and trade debtors,2341,,,,,
2) Loans and credits granted,2342,,,2,,2
3) Other amounts receivable,2346,,,,,
TOTAL BALANCES RECEIVABLE (1+2+3),2347,,,2,,2
4) Suppliers and trade creditors,2352,,,,331,331
5) Loans and credits received,2353,,,,,
6) Other payment obligations,2355,,1.925,80,,2.005
OTHER BALANCES PAYABLE (4+5+6),2358,,1.925,80,331,2.336
