,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
,,31/12/2020,31/12/2019
A) NON-CURRENT ASSETS,1040,209.861,193.326
1. Intangible assets:,1030,41.413,45.079
a) Goodwill,1031,,
b) Other intangible assets,1032,41.413,45.079
"2. Property, plant and equipment",1033,155.395,131.608
3. Investment property,1034,,
4. Investments in group and associated companies accounted for using the equity me,tho1d035,1.812,1.843
5. Non-current financial investments,1036,71,71
a) At fair value through profit or loss,1047,71,71
"Of which, “Designated upon initial recognition”",1041,,
b) At fair value through other comprehensive income,1042,,
"Of which, “Designated upon initial recognition”",1043,,
c) At amortised cost,1044,,
6. Non-current derivatives,1039,,
a) Hedging instruments,1045,,
b) Other,1046,,
7. Deferred tax assets,1037,11.105,14.660
8. Other non-current assets,1038,65,65
B) CURRENT ASSETS,1085,364.578,317.885
1. Non-current assets held for sale,1050,,
2. Inventories,1055,227.199,158.811
3. Trade and other receivables,1060,84.204,91.645
a) Trade receivables for sale of goods and services,1061,63.285,71.616
b) Other receivables,1062,13.116,9.925
c) Current tax assets,1063,7.803,10.104
4. Current financial assets,1070,,
a) At fair value through profit or loss,1080,,
"Of which, “Designated upon initial recognition”",1081,,
b) At fair value through other comprehensive income,1082,,
"Of which, “Designated upon initial recognition”",1083,,
c) At amortised cost,1084,,
5.Current derivatives,1076,,
a) Hedging instruments,1077,,
b) Other,1078,,
6. Other current assets,1075,13,3
7. Cash and cash equivalents,1072,53.162,67.426
TOTAL ASSETS (A+B),1100,574.439,511.211
