,,Equity,,,,,,,
,,,Share,,,Other,Adjustment,"Grants, donations",
,,Share,premium,Treasury,Profit/,equity,s for changes in,and,Total equity
,,capital,and reserves (1),stock,(loss) for the period,instrume nts,value,legacies received,
Opening balance at 01/01/2023,3050,3.241,211.590,(27.561),39.116,,12,1.694,228.092
Adjustments for changes in accounting policies,3051,,,,,,,,
Adjustments for errors,3052,,,,,,,,
Adjusted opening balance,3055,3.241,211.590,(27.561),39.116,,12,1.694,228.092
I. Total recognized income/(expenses),3060,,,,12.475,,(21),(166),12.288
II. Transactions with shareholders or owners,3065,,(1.072),959,(69.886),,,,(69.999)
1. Capital increases/(reductions),3066,,,,,,,,
2. Conversion of financial liabilities to equity,3067,,,,,,,,
3. Distribution of dividends,3068,,,,(69.886),,,,(69.886)
4. Treasury stock transactions (net),3069,,(1.072),959,,,,,(113)
5.Increases/(reductions) due to business combinations,3070,,,,,,,,
6. Other transactions with shareholders or owners,3072,,,,,,,,
III. Other equity transactions,3075,,(30.770),,30.770,,,,-
1. Payments based on equity instruments,3076,,,,,,,,
2. Transfers between equity items,3077,,(30.770),,30.770,,,,
3. Other changes,3078,,-,,,,,,-
Closing balance at 30/06/2023,3080,3.241,179.748,(26.602),12.475,,(9),1.528,170.381
