Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
Protección de los niños,,,,,
Operaciones propias,El desarrollo de terapias avanzadas por parte de ROVI podría contribuir a avances en salud pediátrica.,Impacto positivo,Potencial,> 5 años,• Código Ético
Salud y seguridad,,,,,
Operaciones propias,La inversión de ROVI en investigación y desarrollo de nuevos productos o tecnologías contribuyen a mejorar la salud y la calidad de vida de la sociedad.,Impacto positivo,Real,< 1 año,• Código Ético • Política sobre Investigación y Desarrollo con Células Madre • Política de investigación en Ingeniería genética • Política sobre Investigación en Nanotecnología • Política de Calidad • Política de Sostenibilidad en materia Medioambiental y Social
Operaciones propias,El desarrollo clínico por parte de ROVI de una nueva formulación de Letrozol SIE podría mejorar la salud de mujeres con cáncer de mama.,Impacto positivo,Potencial,1-5 años,
Operaciones propias,"La estrategia de investigación de Okedi® contribuye a que más personas con esquizofrenia no tengan que suplementarse diariamente, mejorando su bienestar y calidad de vida.",Impacto positivo,Real,< 1 año,
Operaciones propias,La alianza estratégica de ROVI con Moderna para fabricar la vacuna ARNm contra la COVID-19 incrementa la capacidad de producción y la preparación frente a futuras pandemias.,Impacto positivo,Real,< 1 año,
Operaciones propias,La alianza estratégica de ROVI con Moderna para desarrollar futuras vacunas de ARNm podría aumentar la capacidad de producción de las mismas.,Impacto positivo,Potencial,1-5 años,
A lo largo de la cadena de valor,"Los controles y verificaciones, incluidos auditorías internas y externas a lo largo del ciclo de vida de los productos, contribuyen a proteger la salud y seguridad de los consumidores finales de ROVI.",Impacto positivo,Real,< 1 año,
A lo largo de la cadena de valor,El procedimiento para la identificación y tratamiento de falsificaciones de productos de ROVI contribuye a proteger la salud y seguridad de pacientes.,Impacto positivo,Real,< 1 año,
Seguridad de una persona,,,,,
Operaciones propias,"La detección de problemas de calidad de productos puestos en el mercado (por ejemplo, contaminación) o de eventos adversos asociados a un producto fabricado y/o comercializado, podría poner en riesgo la seguridad de los pacientes y ocasionar la retirada del producto.",Impacto negativo,Potencial,> 5 años,• Política de Calidad • Política de Sostenibilidad en materia Medioambiental y Social
