,,,Profit after tax,,,Income tax paid,,,Government grants received
,"Laboratorios Farmacéuticos Rovi, S.A.",,,"72,119",,,"(3,877)",,"1,146"
,"Laboratorios Farmacéuticos Rovi, S.A. permanent establishment Portugal",,,707,,,(202),,-
,"Laboratorios Farmacéuticos Rovi, S.A. permanent establishment Poland",,,(154),,,-,,-
,"Laboratorios Farmacéuticos Rovi, S.A. permanent establishment Germany",,,"2,544",,,-,,-
,"Rovi Pharma Industrial Services, S.A. (*)",,,"33,374",,,"(8,701)",,-
,"Pan Química Farmacéutica, S.A. (*)",,,387,,,(97),,-
,"Gineladius, S.L. (*)",,,(37),,,9,,-
,"Rovi Escúzar, S.L. (*)",,,(74),,,23,,-
,Bertex Pharma GmbH,,,-,,,-,,-
,"Rovi Biotech, Limited",,,10,,,-,,11
,"Rovi Biotech, S.R.L.",,,409,,,(112),,-
,"Rovi Biotech, GmbH",,,623,,,(164),,-
,Rovi S.A.S.,,,9,,,-,,-
,Rovi Biotech spółka z o.o,,,(4),,,(2),,-
,,,,"109,913",,,"(13,123)",,
