,,,% Direct interest,,,Carrying amount of interest,,,Capital,,,Reserves,,,Profit or loss for period,,,Total equity,
,,,,,,,,,,,,,,,,,,,Total equity
"Rovi Contract Manufacturing, S.L.",,,100%,,,"1,772",,,36,,,"14,008",,,"12,450",,,"26,494",
,,,,,,,,,,,,,,,,,,,"26,494"
"Bemipharma Manufacturing, S.L.",,,100%,,,559,,,36,,,"2,798",,,(27),,,"2,807",
,,,,,,,,,,,,,,,,,,,"2,807"
"Pan Química Farmacéutica, S.A.",,,100%,,,"1,771",,,601,,,"1,274",,,398,,,"2,273",
,,,,,,,,,,,,,,,,,,,"2,273"
"Gineladius, S.L.",,,100%,,,293,,,30,,,459,,,(7),,,482,
,,,,,,,,,,,,,,,,,,,482
Bertex Pharma GmbH (Nota 29.b),,,100%,,,"1,236",,,25,,,68,,,-,,,93,
,,,,,,,,,,,,,,,,,,,93
"Frosst Ibérica, S.A.U.",,,100%,,,"5,039",,,"7,816",,,"14,485",,,"4,329",,,"26,630",
,,,,,,,,,,,,,,,,,,,"26,630"
"Rovi Biotech, Ltda.",,,99%,,,2,,,2,,,-,,,-,,,2,
,,,,,,,,,,,,,,,,,,,2
"Rovi Biotech, Limited",,,100%,,,7,,,6,,,(260),,,(30),,,(284),
,,,,,,,,,,,,,,,,,,,(284)
"Rovi Biotech, S.R.L.",,,100%,,,194,,,10,,,-,,,9,,,19,
,,,,,,,,,,,,,,,,,,,19
"Rovi Biotech, GmbH",,,100%,,,1.575,,,25,,,360,,,564,,,949,
,"Rovi Biotech, GmbH",,,100%,,,1.575,,,25,,,360,,,564,,,949
,Rovi S.A.S.,,,100%,,,5,,,5,,,(176),,,(729),,,(900)
,,,,,,"12,453",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
