,Note,At 31 December,
,,2017,2016
EQUITY,,"155,187","145,748"
"Equity Capital Reserves (Treasury shares) Retained earnings Profit for the year Adjustments for change in value Available-for-sale financial assets Grants, donations and legacies received",14 15 15 15 16 17,"151,700 3,000 6,959 (8,407) 131,475 18,673 (2) (2) 3,489","141,847 3,000 6,959 (8,701) 110,657 29,932 (3) (3) 3,904"
NON-CURRENT LIABILITIES,,"29,947","23,699"
Non-current debt,,"26,461","20,110"
Bank borrowings Other financial liabilities Deferred tax liabilities,7 y 18 7 y 18 21,"17,716 8,745 2,651","10,940 9,170 2,691"
Non-current accruals,19,835,898
CURRENT LIABILITIES,,"73,990","113,461"
Current provisions,20,"3,508","2,878"
,,,
"Current debt Bank borrowings Other financial liabilities Current debt with Group and associated companies Trade and other payables Trade payables Trade payables, group and associated companies Sundry creditors Employees (outstanding remuneration) Other debts with public authorities",7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 23,"16,031 13,222 2,809 129 54,243 27,241 21,732 38 3,916 1,316","12,789 9,991 2,798 88 97,537 31,377 61,505 23 3,712 920"
Current accruals,19,79,169
TOTAL EQUITY AND LIABILITIES,,"259,124","282,908"
