,,Thousands of euros,,Years,
,,,Initial fair,Repayment,Grace
Entity,Project,Face value,value,period,period
Technological Corporation of Andalusia,(1),4,3,10,4
Industrial Technological Development Centre,(1),160,136,7,3
Industrial Technological Development Centre,(1),956,799,7,3
Industrial Technological Development Centre,(1),734,611,7,3
Industrial Technological Development Centre,(1),79,66,7,3
Technological Corporation of Andalusia,(1),28,22,10,4
Industrial Technological Development Centre,(1),64,53,7,3
Technological Corporation of Andalusia,(1),2,1,10,4
Technological Corporation of Andalusia,(1),16,12,10,4
,,"2,043","1,703",,
