,,Position,Does the director have executive
Name of director,Name of group member,,
,,,powers?
,,,
MR JUAN LÓPEZ- BELMONTE ENCINA,"ROVI PHARMA INDUSTRIAL SERVICES, S.A.","Representative Laboratorios Farmacéuticos Rovi, S.A.",YES
MR JUAN LÓPEZ- BELMONTE ENCINA,"GINELADIUS, S.L.","Representative Laboratorios Farmacéuticos Rovi, S.A.",YES
MR JUAN LÓPEZ- BELMONTE ENCINA,"ROVI ESCÚZAR, S.L.","Representative Laboratorios Farmacéuticos Rovi, S.A.",YES
MR IVÁN JORGE LÓPEZ- BELMONTE ENCINA,BERTEX PHARMA GMBH,Joint & Several Administrator,YES
MR IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH LIMITED,Sole Administrator,YES
MR IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI GMBH,Sole Administrator,YES
MR JUAN LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SRL,Representative Laboratorios Farmacéuticos Rovi. S.A.,YES
MR JUAN LÓPEZ- BELMONTE ENCINA,ROVI S.A.S.,"Representative Laboratorios Farmacéuticos Rovi, S.A.",YES
MR IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI S.A.S.,"Representative Laboratorios Farmacéuticos Rovi, S.A.",YES
MR JAVIER LÓPEZ- BELMONTE ENCINA,ROVI S.A.S.,"Representative Laboratorios Farmacéuticos Rovi, S.A.",YES
MR JUAN LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SP. ZO.O.,Chairman of the Board of Directors,YES
MR IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SP. ZO.O.,First Deputy Chairman of the Board of Directors,YES
MR JAVIER LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SP. ZO.O.,Second Deputy Chairman of the Board of Directors,YES
