,31 de diciembre de 2022,,31 de diciembre de 2021,
Estado del resultado global resumido,"Alentia Biotech, S.L.","Enervit Nutrition, S.L.","Alentia Biotech, S.L.","Enervit Nutrition, S.L."
,,,,
Importe neto de la cifra de negocio,— — — — —,7.377 (6.027) (401) (542) (201),— — —,7.442 (5.929) (375)
Aprovisionamientos y variación de existencias,,,,
Gastos de personal,,,,
Otros gastos de explotación,,,(4) (565),
Amortizaciones,,,—,(209)
Resultado de explotación,—,206,(4) 364,
Resultado financiero,—,—,— —,
Impuesto sobre beneficios,—,192,— —,
Resultado del periodo,—,398,(4) 364,
,,,,
Otro resultado global,— —,,— —,
,,,,
TOTAL RESULTADO GLOBAL,—,398,(4) 364,
,,,,
Dividendos recibidos de negocios conjuntos,— —,,— —,
