Nombre o denominación social del consejero,Denominación social de la entidad del grupo,Cargo,¿Tiene funciones ejecutivas?
DON JUAN LÓPEZ- BELMONTE ENCINA,"ROVI PHARMA INDUSTRIAL SERVICES, S.A.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JUAN LÓPEZ- BELMONTE ENCINA,"GINELADIUS, S.L.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JUAN LÓPEZ- BELMONTE ENCINA,"ROVI ESCÚZAR, S.L.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,BERTEX PHARMA GMBH,Administrador Solidario,SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH LIMITED,Administrador Único,SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI GMBH,Administrador Único,SI
DON JUAN LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SRL,Representante Laboratorios Farmacéuticos Rovi. S.A.,SI
DON JUAN LÓPEZ- BELMONTE ENCINA,ROVI S.A.S.,"Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI S.A.S.,"Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JAVIER LÓPEZ- BELMONTE ENCINA,ROVI S.A.S.,"Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JUAN LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SP. ZO.O.,Presidente del Consejo de Administración.,SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SP. ZO.O.,Vicepresidente Primero del Consejo de Administración.,SI
DON JAVIER LÓPEZ- BELMONTE ENCINA,ROVI BIOTECH SP. ZO.O.,Vicepresidente Segundo del Consejo de Administración.,SI
