,,Participación,,,Auditor
Denominación Social Domicilio,,2025,2024,Actividad,
"Pan Química Farmacéutica, S.A.U.","C/ Rufino González 50, Madrid (España)",100%,100%,(1),A
"Gineladius, S.L.U.","C/ Rufino González 50, Madrid (España)",100%,100%,(2),N/A
"Cells IA Technologies, S.L.","C/ Julián Camarillo 35, Madrid (España)",95 %,26% (*),(6),N/A
"Rovi Pharma Industrial Services, S.A.U.","Avda. Complutense 140 , Alcalá de Henares (España)",100 %,100 %,(1),A
"Rovi Escúzar, S.L.U.","C/ Julián Camarillo 35, Madrid (España)",100%,100%,(1),A
"Glicopepton Biotech, S.L.","C/ Julián Camarillo 35, Madrid (España)",51%,51%,(4),A
Rovi Biotech GmbH,"Bahnhofstrasse 10, Zug, (Suiza)",100%,100%,(1),N/A
Bertex Pharma GmbH,"Rudolf-Diesel-Ring 6, Holzkirchen (Alemania)",100%,100%,(3),N/A
Rovi Biotech Limited,"Davis House 4th Floor, Suite 425 Robert Street, Croydon, (Reino Unido)",100%,100%,(1),B
"Rovi Biotech, S.r.l","Viale Achille Papa 30, Milán (Italia)",100%,100%,(1),E
"Rovi, GmbH","Rudolf-Diesel-Ring 6, Holzkirchen (Alemania)",100%,100%,(1),C
"Rovi, S.A.S.","Rue du Drac 24, Seyssins (Francia)",100%,100%,(1),D
"Rois Phoenix, Inc.","Tschampani 25 5643 Aargau, Switzerland",100% (*),-,(1),N/A
Rovi Biotech sp.z.o.o.,"Ulica Domaniewska 44, Varsovia, Polonia",100%,100%,(5),N/A
