In € millions,Six-month period ended 30 June,,Growth,% Grothw
,2024 2023,,,
,,,,
Operating revenues (1),329.3 380.8,,(51.5),-14 %
Other income (2),0.2 0.2,,—,— %
Total Revenue (3),329.5 381.0,,(51.5),(14) %
Cost of sales (4),(133.9) (165.3),,31.4,-19 %
Gross profit (5),195.6 215.7,,(20.1),(9) %
% margin (11),59.4 % 56.6 %,,,"2,8 pp"
R&D Expenses (6),(12.2) (10.8) (113.5) (107.8),,(1.4) (5.7),13 % 5 %
SG&A (7),,,,
Share of profit/(loss) on Joint Ventures and associated,(0.02) (0.01),,(0.01),69 %
EBITDA (8),69.9 97.1,,(27.2),(28) %
% margin (11),21.2 % 25.5 %,,,"-4,3pp"
EBIT (9),56.5 85.2,,(28.7),(34) %
% margin (11),17.1 % 22.4 %,,,"-5,2pp"
Net profit (10),44.3 66.6,,(22.3),(33) %
