,,,Shareholding,,Voting rights,
Corporate name,Address,Activity,% Direct,% Indirect,% Direct,% Indirect
"Pan Química Farmacéutica, S.A.","Madrid, C/ Rufino González, 50",(1),100%,—,100%,—
"Gineladius, S.L.","Madrid, C/ Rufino González, 50",(2),100%,—,100%,—
"Rovi Pharma Industrial Services, S.A.U.","Alcalá de Henares, Avenida Complutense, 140 (Madrid)",(1),100%,—,100%,—
Bertex Pharma GmbH,Inselstr.17. 14129 Berlin (Germany),(3),100%,—,100%,—
"Rovi Escúzar, S.L","Madrid, C/ Julián Camarillo, 35",(1),100%,—,100%,—
Rovi Biotech GmbH,"Bahnhofstrasse 10, 6300 Zug, (Switzerland)",(1),100%,—,100%,—
Rovi Biotech Limited,"10-18 Union Street, London (United Kingdom)",(1),100%,—,100%,—
"Rovi Biotech, S.r.l","Via Monte Rosa 91, Milan (Italy)",(1),100%,—,100%,—
"Rovi, GmbH","Ruhlandstr. 5, Bad Tölz (Germany)",(1),100%,—,100%,—
"Rovi, S.A.S.","24 Rue du Drac, Seyssins (France)",(1),100%,—,100%,—
Rovi Biotech sp.z.o.o.,"ul. Wincentego Rzymowskiego, 53, Warsaw (Poland)",(1),100%,—,100%,—
