Financial Year 2024,Economic activities,seitivitca elbigele - ymonoxaT .A,)dengila-ymonoxaT( seitivitca elbaniatsus yllatnemnorivnE .1.A,"ecanetniam ycneiciffe tnempiuqe ygrene dna ,noitallatsnI fo riaper",ecnanetniam dna( dehcatta gnigrahc cirtcele sgnidliub sgnidliub secaps fo rof noitallatsnI riaper snoitats ni selcihev gnikrap ot dna,"ecnanetniam stnemurtsni sgnidliub noitaluger ygrene rof secived gnillortnoc fo fo ,gnirusaem ecnamrofrep ,noitallatsnI riaper dna dna dna","dna elbawener seigolonhcet ,noitallatsnI ecnanetniam fo riaper ygrene",seitivitca )dengila-ymonoxaT( yllatnemnorivne fo xEpaC elbaniatsus )1.A(,gnilbanE hcihw fO,lanoitisnarT hcihw fO
2024,Code,,,CCM 7.3,CCM 7.4,CCM 7.5,CCM 7.6,,,
,CapEx (€),,,"690,912","8,591","90,517","42,336","832,357","832,357",-
,Proportion of CapEx 2024,,,1.054%,0.013%,0.138%,0.065%,1.269%,1.269%,—%
Substantial contribution criteria,Climate Change Mitigation,,,S,S,S,S,1.269%,1.269%,—%
,Climate Change Adaptation,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Water,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Pollution,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Circular Economy,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Biodiversity,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
"DNSH criteria (""Does not significantly harm"")",Climate Change Mitigation,,,S,S,S,S,S,S,S
,Climate Change Adaptation,,,S,S,S,S,S,S,S
,Water,,,S,S,S,S,S,S,S
,Pollution,,,S,S,S,S,S,S,S
,Circular Economy,,,S,S,S,S,S,S,S
,Biodiversity,,,S,S,S,S,S,S,S
,Minimum Safeguards,,,S,S,S,S,S,S,S
,"Proportion of Taxonomy aligned (A.1.) or eligible (A.2.) CapEx, year 2023",,,0.581%,0.008%,0.099%,1.457%,2.145%,2.145%,0%
,Category enabling activity,,,F,F,F,F,,F,
,Category transitional activity,,,,,,,,,T
