,,,Thousands of euros,,,,,
,,,2018,,,2017,,
,,,,2018,,,2017,
,Non-current debits and payables,,,,,,,
,- Bank borrowings (a),,,"7,113",,,"17,716",
,- Debt with government entities (b),,,"9,018",,,"8,745",
,,,"16,131",,,"26,461",,
,Current debits and payables:,,,,,,,
,- Bank borrowings (a),,,"15,603",,,"13,222",
,- Debt with government entities (b),,,"1,893",,,"2,809",
,- Current debt with Group and associated companies (Note 31.f),,,141,,,129,
,- Trade payables,,,"28,383",,,"27,017",
,"- Trade payables, related parties (Note 31.f)",,,"83,578",,,"23,376",
,- Sundry creditors,,,51,,,38,
,- Employees,,,"2,646",,,"2,496",
,,,"132,295",,,"69,087",,
,,,"148,426",,,"95,548",,
