,,Equity attributed to parent company,,,,,,,
,,Equity,,,,,,,
,,,,,Profit/,,Adjust-,Non-,
,,Share,Share premium,Treasury,(loss) for the per.,Other equity,ments for,controlling,Total equity
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Opening balance at 01/01/2024,3110,3.241,473.508,(107.676),170.335,,(21),4.107,543.494
Adjustments for changes in accounting policies,3111,,,,,,,,
Adjustments for errors,3112,,,,,,,,
Adjusted opening balance,3115,3.241,473.508,(107.676),170.335,,(21),4.107,543.494
I. Total recognized income/(expenses),3120,,,,44.345,,(8),(7),44.330
II. Transactions with shareholders or owners,3125,,2.061,(50.076),(59.617),,,2.570,(105.062)
1. Capital increases/(reductions),3126,,,,,,,,
2. Conversion of financial liabilities to equity,3127,,,,,,,,
3. Distribution of dividends,3128,,,,(59.617),,,,(59.617)
4. Treasury stock transactions (net),3129,,2.061,(50.076),,,,,(48.015)
5.Increases/(reductions) due to business combinations,3130,,,,,,,,-
6. Other transactions with shareholders or owners,3132,,,,,,,2.570,2.570
III. Other equity transactions,3135,,110.718,,(110.718),,,-,-
1. Payments based on equity instruments,3136,,,,,,,,
2. Transfers between equity items,3137,,110.718,,(110.718),,,,
3. Other changes,3138,,-,,,,,,-
Closing balance at 30/06/2024,3140,3.241,586.287,(157.752),44.345,,(29),6.670,482.762
