,,Equity,,,,,,,
,,,Share,,,Other,Adjust-,"Grants,",
,,Share,premium,Treasury,Profit/,equity,ments for,donations,Total equity
,,capital,and reserves,stock,(loss) for the period,instru- ments,changes in value,and legacies received,
Closing balance at 01/01/2021,3010,3.364,273.967,(20.185),71.137,,(3),2.406,330.686
Adjustments for changes in accounting policies,3011,,,,,,,,
Adjustments for errors,3012,,,,,,,,
Adjusted opening balance,3015,3.364,273.967,(20.185),71.137,,(3),2.406,330.686
I. Total recognized income/(expenses),3020,,,,65.143,,1,(295),64.849
II. Transactions with shareholders or owners,3025,,10.882,(45.936),(21.132),,,,(56.186)
1. Capital increases/(reductions),3026,,,,,,,,
2. Conversion of financial liabilities to equity,3027,,,,,,,,
3. Distribution of dividends,3028,,,,(21.132),,,,(21.132)
4. Treasury stock transactions (net),3029,,10.882,(47.339),,,,,(36.457)
5.Increases/(reductions ) due to business combinations,3030,,,,,,,,
6. Other transactions with shareholders or owners,3032,,,1.403,,,,,1.403
III. Other equity transactions,3035,,50.287,,(50.005),,,,282
1. Payments based on equity instruments,3036,,,,,,,,
2. Transfers between equity items,3037,,50.005,,(50.005),,,,
3. Other changes,3038,,282,,,,,,282
Closing balance at 31/12/2021,3040,3.364,335.136,(66.121),65.143,,(2),2.111,339.631
