,,,,Thousands of euros,,,,,
,,,Equity Instruments,,,,Credits and other financial assets,,
,,,2018,,2017,,2018,2017,
,,,,,,,,,
Available-for-sale financial assets (Note 11),,,63,,62,,-,-,
Loans and receivables (Note 10),,,-,,-,,"3,337","1,402",
Non-current,,,63,,62,,"3,337","1,402",
,,,,,,,,,
Loans and receivables (Note 10),,,-,,-,,"184,993","97,058",
Hedging derivatives,,,-,,-,,17,-,
Cash and cash equivalents (Note 13),,,-,,-,,"83,787","35,526",
Current,,,-,,-,,"268,797","132,584",
,,,,,,,,,
TOTAL,,,63,,62,,"272,134","133,986",
