Thousands of euros,31.12.2016 31.12.2016 modified presented Difference
"CONTINUING OPERATIONS Net sales Change in inventories of finished products & work in progress Supplies Other operating income Employee benefit expenses Other operating income Amortization, depreciation & impairment charges Allocation of grants for non-financial assets and other Impairment and gains/(losses) on disposal of intangible assets and property, plant and equipment","231,382 231,382 - (6,435) (6,435) - (129,543) (129,543) - 2,792 2,792 - (29,080) (29,080) - (49,297) (49,297) - (7,608) (7,608) - 1,082 1,082 - (25) (25) -"
"Other income 1,450 3,997 (2,547)",
,
PROFIT FROM OPERATING ACTIVITIES,"14,718 17,265 (2,547)"
,
FINANCE COSTS - NET,"14,532 14,532 -"
,
PROFIT BEFORE INCOME TAX,"29,250 31,797 (2,547)"
Income tax,682 45 637
PROFIT FOR THE YEAR,"29,932 31,842 (1,910)"
