,Miles de euros,,,,,
,Cuenta de pérdidas y ganancias,,,,Ingresos y gastos imputados directamente al patrimonio neto,
Saldo ingresos y gastos,,,12.071,,,(359)
,Aumentos Disminuciones Total,,,,Aumentos Disminuciones Total,
Impuesto sobre Sociedades Diferencias permanentes - Individuales - De consolidación Diferencias temporarias: - Individuales - con origen en el ejercicio - con origen en ejercicios ant. - De Consolidación - con origen en el ejercicio - con origen en ejercicios ant. Base imponible previa,,,(1.960),,,(109)
,,,,,,
,1.287,—,1.287,,— — — — — —,
,— — —,,,,,
,,,,,,
,1.854,—,1.854,,— — — — — —,
,963 (2.517) (1.554),,,,,
,,,,,,
,— (12.274) (12.274) 13.715 — 13.715,,,,— — — — — —,
,,,13.139,,,(468)
