Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
Adaptación al cambio climático,,,,,
Operaciones propias,El compromiso ambiental y el liderazgo del Grupo en la lucha contra el cambio climático podría fortalecer su reputación y atraer mayor apoyo de clientes e inversores.,Oportunidad,Potencial,1-5 años,• Política de Gestión de Medio Ambiente • Política contra el cambio climático • Política de Sostenibilidad en materia Medioambiental y Social
Operaciones propias,La falta de análisis e inversión en medidas de adaptación al cambio climático podría afectar a la continuidad de la actividad de ROVI.,Riesgo,Potencial,1-5 años,
Energía,,,,,
Aguas arriba,El uso de energía no renovable por parte de proveedores y compañías farmacéuticas con acuerdos de comercialización bajo licencia para ofrecer bienes y servicios a ROVI contribuye al cambio climático.,Impacto negativo,Real,< 1 año,• Política de Gestión de Medio Ambiente • Política contra el cambio climático • Política de Sostenibilidad en materia Medioambiental y Social • Política Energética de la planta de Granada
Operaciones propias,Los controles mensuales de ROVI sobre consumos de electricidad y gas permiten fijar objetivos de ahorro y contribuir a la lucha contra el cambio climático.,Impacto positivo,Real,< 1 año,
Operaciones propias,La apuesta de ROVI por la producción de energía renovable mediante las placas solares y el uso de energía 100% renovable en todas sus plantas y principales oficinas contribuye a la lucha contra el cambio climático.,Impacto positivo,Real,< 1 año,
Operaciones propias,El consumo por parte de ROVI de combustibles fósiles para desarrollar su actividad contribuye al cambio climático.,Impacto negativo,Real,< 1 año,
A lo largo de la cadena de valor,El consumo de energía no renovable por los vehículos empleados para transportar las mercancías contribuye al cambio climático.,Impacto negativo,Real,< 1 año,
A lo largo de la cadena de valor,La exigencia por parte de ROVI de que los vehículos empleados por operadores logísticos para transportar las mercancías consuman energía renovable contribuye a la lucha contra el cambio climático.,Impacto positivo,Real,< 1 año,
A lo largo de la cadena de valor,El uso intensivo de energía no renovable para mantener los principios activos y los medicamentos a una temperatura adecuada contribuye al cambio climático.,Impacto negativo,Real,< 1 año,
Operaciones propias,La inversión en una flota de vehículos comerciales eléctricos en sustitución de los de combustión podría suponer una mejora reputacional.,Oportunidad,Potencial,> 5 años,
Mitigación del cambio climático,,,,,
Aguas arriba,"El uso extensivo de cabañas porcinas para la obtención de heparina genera emisiones de gases de efecto invernadero (CO₂, NH₄, N₂O).",Impacto negativo,Real,< 1 año,• Política de Gestión de Medio Ambiente • Política de Sostenibilidad en materia Medioambiental y Social • Política contra el cambio climático
Operaciones propias,"La optimización de sistemas de control de climatización y calderas, los cambios a iluminación LED e instalación de contadores eléctricos y de vapor de nueva generación, en línea con la estrategia de eficiencia energética de ROVI, reduce las emisiones de carbono y contribuye a la lucha contra el cambio climático.",Impacto positivo,Real,< 1 año,
Operaciones propias,"Los compromisos y objetivos establecidos en la Política de Cambio Climático de ROVI, así como las actuaciones derivadas de la misma, contribuyen a la mitigación del cambio climático al compensar el 100% de las emisiones de alcance 1 y 2 que no se hayan podido reducir.",Impacto positivo,Real,< 1 año,
Operaciones propias,"La verificación de la Huella de Carbono por un tercero independiente para la obtención del sello MITECO ""Calculo y Compenso"" permite tomar decisiones de reducción con objetivos concretos, contribuyendo a la lucha contra el cambio climático.",Impacto positivo,Real,< 1 año,
A lo largo de la cadena de valor,"La potencial falta de implementación de medidas de descarbonización ambiciosas por parte de ROVI, tanto en sus operaciones propias como a lo largo de su cadena de valor, podría contribuir al cambio climático.",Impacto negativo,Potencial,> 5 años,
A lo largo de la cadena de valor,"La generación de emisiones de gases de efecto invernadero a lo largo de la cadena de valor derivado de las relaciones comerciales de ROVI, contribuyen al cambio climático.",Impacto negativo,Real,< 1 año,
