Financial Year 2024,Economic activities,seitivitca elbigele - ymonoxaT .A,)dengila-ymonoxaT( seitivitca elbaniatsus yllatnemnorivnE .1.A,"dna ycneiciffe ecnanetniam tnempiuqe ygrene ,noitallatsnI fo riaper","dna sgnidliub elcihev ecnanetniam secaps )sgnidliub cirtcele ni gnikrap stniop ot ,noitallatsnI fo tnecajda sriaper gnigrahc ni dna(","dna dna gnillortnoc ecnanetniam ,gnirusaem fo stnemurtsni ecnamrofrep sgnidliub dna rof ,noitallatsnI fo secived noitaluger ygrene riaper","dna ygrene ecnanetniam elbawener seigolonhcet ,noitallatsnI fo riaper",)1.A( seitivitca yllatnemnorivne )dengila fo xEpO elbaniatsus ymonoxaT(,gnilbanE hcihw fO,lanoitisnarT hcihw fO
2024,Code,,,CCM 7.3,CCM 7.4,CCM 7.5,CCM 7.6,,,
,OpEx (€),,,"127,912","2,869","8,095","8,007","146,883","146,883",0
,Proportion of OpEx 2024,,,0.343%,0.008%,0.022%,0.021%,0.394%,0.394%,0%
Substantial contribution criteria,Climate Change Mitigation,,,S,S,S,S,0.394%,0.394%,0%
,Climate Change Adaptation,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Water,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Pollution,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Circular Economy,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Biodiversity,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
"DNSH criteria (""Does not significantly harm""",Climate Change Mitigation,,,S,S,S,S,S,S,S
,Climate Change Adaptation,,,S,S,S,S,S,S,S
,Water,,,S,S,S,S,S,S,S
,Pollution,,,S,S,S,S,S,S,S
,Circular Economy,,,S,S,S,S,S,S,S
,Biodiversity,,,S,S,S,S,S,S,S
,Minimum Safeguards,,,S,S,S,S,S,S,S
,"Proportion of Taxonomy aligned (A.1.) or eligible (A.2.) OpEx, year 2023",,,0.081%,N/A,0.041%,0.013%,0.136%,0.136%,0%
,Category enabling activity,,,F,F,F,F,,F,
,Category transitional activity,,,,,,,,,T
