,Share capital (Note 15),Share premium (Note 15),Legal reserve (Note 16),Treasury shares (Note 16),Retained earnings and voluntary reserve (Note 16),Profit for the year (Note 16),Other reserves (Note 16),TOTAL EQUITY
"Balance at 1 January, 2017","3,000",-,600,"(8,701)","162,421","26,089",(3),"183,406"
Total comprehensive income,-,-,-,-,-,"17,241",1,"17,242"
Transfer of 2016 profit,-,-,-,-,"17,064","(17,064)",-,-
Dividends 2016 (Note 16 e),-,-,-,-,-,"(9,025)",-,"(9,025)"
Acquisition of treasury shares (Note 16 d),-,-,-,(532),-,-,-,(532)
Reissue of treasury shares (Note 16 d),-,-,-,826,185,-,-,"1,011"
Other movements,-,-,-,-,(415),-,-,(415)
"Balance at 31 December, 2017","3,000",-,600,"(8,407)","179,255","17,241",(2),"191,687"
Total comprehensive income,-,-,-,-,-,"17,895",(1),"17,894"
Transfer of 2017 profit,-,-,-,-,"11,289","(11,289)",-,-
Dividends 2017 (Note 16 e),-,-,-,-,-,"(5,952)",-,"(5,952)"
Capital increase,364,"87,636",-,-,"(3,881)",-,-,"84,119"
Acquisition of treasury shares (Note 16 d),-,-,-,"(1,138)",-,-,-,"(1,138)"
Reissue of treasury shares (Note 16 d),-,-,-,733,253,-,-,986
Other movements,-,-,-,-,(124),-,-,(124)
"Balance at 31 December, 2018","3,364","87,636",600,"(8,812)","186,792","17,895",(3),"287,472"
