,a.1),a.2),a.4),a.5),a.6),TOTAL
Entity,BBVA,BBVA,Santander,Santander,BEI,
Face value,"20,000","10,000","4,000","6,000","5,000",
Interest rate,0.65% Fixed,0.90% Fixed,0.90% Fixed,Eur12+0.70%,Eur3+0.84%,
,,,,,,
2019,"12,642","1,481",592,888,-,"15,603"
2020,"2,113",-,-,-,-,"2,113"
2021,-,-,-,-,175,175
2022,-,-,-,-,704,704
2023,-,-,-,-,708,708
2024 onward,-,-,-,-,"3,413","3,413"
,"14,755","1,481",592,888,"5,000","22,716"
Non-current,"2,113",-,-,-,"5,000","7,113"
Current,"12,642","1,481",592,888,-,"15,603"
