,,,Miles euros,,Años,
,,,,Valor,,Periodo
,,,Importe,razonable,Plazo de,de
Sociedad,Organismo,Proyecto,nominal,inicial,amortización,carencia
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(1),636,422,10,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(2),7,5,10,4
Lab. Farm. Rovi,Centro para el Desarrollo Tecnológico Industrial,(1),579,394,8,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(2),142,118,10,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(2),82,68,10,4
Lab. Farm. Rovi,Ministerio de Economía y Competitividad,(3),55,52,3,3
Rovi Contract,Ministerio de Economía y Competitividad,(3),106,81,4,2
,,,1.607,1.140,,
