,Note,Six-month period ended 30 June,
,,2025,2024
Revenue,20 11 21,"314,590 (1,373) (117,766) (70,417) (60,286)","329,336 71,362 (205,275) (64,871) (61,394)"
Change in inventories of finished goods and work in progress Raw materials and consumables used Employee benefit expenses Other operating expenses Work carried out by the Group on non-current assets Amortisation and depreciation Recognition of government grants on non-financial non-current assets and other,,,
,,"232 (14,748) 715","562 (13,446) 204"
,7 & 8,,
,9 22,,
OPERATING PROFIT,,"50,947","56,478"
,,,
Finance income Finance costs Impairment and gain or loss on measurement of financial instruments,,"707 (1,328) (533) (100)",100 (644) 67 163
Exchange difference,,,
FINANCE COSTS - NET,,"(1,254)",(314)
,,,
Share of profit in joint ventures and associated companies,,(67),(22)
,,,
PROFIT BEFORE INCOME TAX,,"49,626","56,142"
,,,
Income tax,,"(9,926)","(11,804)"
,,,
PROFIT FOR THE PERIOD,,"39,700","44,338"
,,,
Attributable to:,,,
– The parent company,,"39,736 (36)","44,345 (7)"
– Non-controlling interests,,,
,,,
Earnings per share (basic and diluted) attributable to the shareholders of the Company (euros),,,
– Basic and diluted,23,0.78,0.86
