Cash and cash equivalents,Rating,2024,2023
,A+ A A- BBB+ BBB,"2,016 1,307 10,372 16,381 13,758 226 — 20 487 2,268 553 5,120",
,Not rated,,
,Total cash and cash equivalents (Note 14),"27,186 25,322",
,,,
Financial receivables,Rating,2024,2023
,A,65 65,
,Total financial receivables (Note 13),65 65,
,,,
Equity securities,Rating,2024,2023
,Not rated,—,24
,Total equity securities (Note 11),— 24,
,,,
Trade receivables,Rating,2024 2023,
,AA A1,"1,121 979 2,582 330 16,539 16,223 94,934 107,536",
,Public centres and institutions (Note 13),,
,"Other (wholesalers, pharmacies, hospitals)",,
,Total trade receivables (Note 13),"115,176 125,068",
,,2024 2023,
Other deposits,Rating,,
,A+,"1,327","1,327"
,Not rated,603 113,
,Total other deposits (Note 13),"1,930 1,440",
