,,Development,Trademarks & licences,Computer software,Total
Balance at 01.01.17,,,,,
Cost,,"4,251","21,880","10,062","36,193"
Accumulated amortisation,,(11),"(3,297)","(8,013)","(11,321)"
Net carrying amount 01.01.17,,"4,240","18,583","2,049","24,872"
Additions,,"2,429",40,486,"2,955"
Transfers (net of amortisation),,"2,057",-,-,"2,057"
Amortisation charge,,(297),"(1,568)",(941),"(2,806)"
Balance at 31.12.17,,,,,
Cost,,"8,737","21,920","10,548","41,205"
Accumulated amortisation,,(308),"(4,865)","(8,954)","(14,127)"
Net carrying amount 31.12.17,,"8,429","17,055","1,594","27,078"
Additions,,123,"9,010",936,"10,069"
Amortisation charge,,(181),"(1,567)",(749),"(2,497)"
Balance at 31.12.18,,,,,
Cost,,"8,860","30,930","11,484","51,274"
Accumulated amortisation,,(489),"(6,432)","(9,703)","(16,624)"
Net carrying amount 31.12.18,,"8,371","24,498","1,781","34,650"
