,,,,,,
,,,Position on,Date of first,Date of last,
Name of director,Representative,Director category,,,,Election procedure
,,,the Board,appointment,appointment,
,,,,,,
,,,,,,
MR JUAN LÓPEZ- BELMONTE LÓPEZ,,Proprietary,CHAIRMAN,27/07/2007,31/05/2017,GENERAL SHAREHOLDERS’ MEETING RESOLUTION
MR JUAN LÓPEZ- BELMONTE ENCINA,,Executive,CHIEF EXECUTIVE OFFICER,27/07/2007,31/05/2017,GENERAL SHAREHOLDERS’ MEETING RESOLUTION
MR JAVIER LÓPEZ- BELMONTE ENCINA,,Executive,1st DEPUTY CHAIRMAN,27/07/2007,31/05/2017,GENERAL SHAREHOLDERS’ MEETING RESOLUTION
MR IVÁN JORGE LÓPEZ- BELMONTE ENCINA,,Executive,2nd DEPUTY CHAIRMAN,27/07/2007,31/05/2017,GENERAL SHAREHOLDERS’ MEETING RESOLUTION
MR JOSÉ FERNANDO DE ALMANSA MORENO- BARREDA,,Independent,DIRECTOR,09/06/2015,12/06/2019,GENERAL SHAREHOLDERS’ MEETING RESOLUTION
MR MARCOS PEÑA PINTO,,Independent,INDEPENDENT COORDINATING DIRECTOR E,09/05/2019,12/06/2019,GENERAL SHAREHOLDERS’ MEETING RESOLUTION
