Cash and cash equivalents,Rating,2018,2017
,A+,-,460
,A,"75,708",185
,A-,"18,176","18,390"
,BBB+,179,"14,685"
,BBB,"1,329","6,370"
,BBB-,76,566
,BB,-,4
,Caa2,-,6
,No rating,43,34
,Total cash (Note 14),"95,511","40,700"
,,,
Financial receivables,Rating,2018,2017
,A,65,-
,A-,-,65
,Total financial receivables (Note 13),65,65
,,,
Equity securities,Rating,2018,2017
,BBB+,-,10
,A-,11,-
,No rating,59,59
,Total equity securities (Note 11),70,69
,,,
Trade receivables,Rating,2018,2017
,AA,"3,012","3,140"
,Public centres and institutions (Note 13),"7,317","5,663"
,"Other (wholesalers, pharmacies, hospitals)","41,723","34,027"
,Total trade receivables (Note 13),"52,052","42,830"
