Financial Year 2024,Economic activities,)seitivitca dengila-ymonoxaT ton( seitivitca elbaniatsus yllatnemnorivne ton tub elbigilE-ymonoxaT 2.A,evitca ro )*( lacituecamrahp )IPA( secnatsbus fo erutcafunaM stneidergni evitca,)*( fo stcudorp erutcafunaM lanicidem,"tnempiuqe dna ygrene ,noitallatsnI ecnanetniam fo riaper ycneiciffe",seitivitca elbigile elbaniatsus dengila-ymonoxaT )2.A( ymonoxaT ton ton( )seitivitca tub latnemnorivne fo xEpaC,elbigile )2.A+1.A( fo xEpaC ymonoxaT seitivitca .A,seitivitca elbigele-noN- ymonoxaT . B,elbigile non ymonoxaT seitivitca )B( fo xEpaC,Total
2024,Code,,PPC 1.1,PPC 1.2,CCM 5.4,,,,,
,CapEx (€),,"120,152","46,224,004","25,426","46,369,582","47,201,939",,"18,368,061","65,570,000"
,Proportion of CapEx 2024,,0.183%,70.496%,0.039%,70.718%,71.987%,,28.013%,100%
Substantial contribution criteria,Climate Change Mitigation,,N/EL,N/EL,N/EL,0.039%,1.308%,,".gnineercs ytilibigile eriuqer ton did ytivitca siht ,2202 nI )*(",
,Climate Change Adaptation,,N/EL,N/EL,N/EL,0%,0%,,,
,Water,,N/EL,N/EL,N/EL,0%,0%,,,
,Pollution,,N/EL,N/EL,N/EL,70.679%,70.679%,,,
,Circular Economy,,N/EL,N/EL,N/EL,0%,0%,,,
,Biodiversity,,N/EL,N/EL,N/EL,0%,0%,,,
"DNSH criteria (""Does not significantly harm""",Climate Change Mitigation,,,,,,,,,
,Climate Change Adaptation,,,,,,,,,
,Water,,,,,,,,,
,Pollution,,,,,,,,,
,Circular Economy,,,,,,,,,
,Biodiversity,,,,,,,,,
,Minimum Safeguards,,,,,,,,,
,"Proportion of Taxonomy aligned (A.1.) or eligible (A.2.) CapEx, year 2023",,0.030%,68.457%,N/A,68.516%,70.661%,,,
,Category enabling activity,,,,,,,,,
,Category transitional activity,,,,,,,,,
