,,PREVIOUS PERIOD,,,,
,,Significant share- holders,Directors and senior manage- ment,"Persons, companies or entities belonging to the group",Other related parties,Total
1) Trade and other receivables,6341,,,,10,10
2) Loans and credits granted,6342,,,,,0
3) other collection rights,6346,,,,,0
TOTAL DEBIT BALANCES (1+2+3),6347,0,0,0,10,10
4) Trade and other payables,6352,,,,233,233
5) Loans and credits received,6353,,,,,
6) Other payment obligations,6355,,1.990,,18.836,20.826
TOTAL CREDIT BALANCES (4+5+6),6358,0,1.990,0,19.069,21.059
