,,,,,,Annual period ended 31 December,,,,,
,,,Note,,,2018,,,2017,,
,Profit for the year,,,16,,"15,581",,,"18,673",,
,,,,,,,,,,,
,Income and expenses credited or charged directly to equity,,,,,,828,,,286,
,Measurement of financial instruments,,,,,,,,,,
,- Available-for-sale financial assets,,,11,,,(1),,,1,
,"Grants, donations and legacies received",,,17,,,"1,105",,,381,
,Tax effect,,,21,,,(276),,,(96),
,,,,,,,,,,,
,Transfers to profit and loss,,,,,,"(1,190)",,,(700),
,"Grants, donations and legacies received",,,17,,,"(1,586)",,,(935),
,Tax effect,,,21,,,396,,,235,
,,,,,,,,,,,
,TOTAL RECOGNISED INCOME AND EXPENSES,,,,,"15,219",,,"18,259",,
