Ejercicio financiero 2024,Actividades económicas,)aímonoxat al a natsuja es on euq sedadivitca( selbinetsos etnemlatneibmaoidem on orep aímonoxat al núges selbigele sedadivitcA .2.A,socituécamraf )*( savitca saicnatsus setneidergni o ed )AFI( nóicacirbaF sovitca,)*( sotnemacidem ed nóicacirbaF,otneimatart le selaudiser y adigocer sauga al ed ed nóicavoneR,al etnemlatneibmaoidem natsuja núges es selbigele on )2.A( euq )aímonoxat sedadivitca( sedadivitca on orep al ed aímonoxat selbinetsos a xEpaC,al núges selbigele )2.A+1.A( sedadivitca aímonoxat ed xEpaC .A,)2.A+1.A( aímonoxaT al núges selbigele on sedadivitcA . B,núges selbigele )B( on aímonoxat sedadivitca al ed xEpaC,Total
2024,Códigos,,PPC 1.1,PPC 1.2,CCM 5.4,,,,,
,CapEx (€),,120.152,46.224.004,25.426,46.369.582,47.201.939,,18.368.061,65.570.000
,Proporción CapEx 2024,,"0,183 %","70,496 %","0,039 %","70,718 %","71,987 %",,"28,013 %",100%
Criterios de contribución sustancial,Mitigación del cambio climático,,N/EL,N/EL,N/EL,"0,039 %","1,308 %",,,
,Adaptación al cambio climático,,N/EL,N/EL,N/EL,0%,0%,,,
,Agua,,N/EL,N/EL,N/EL,0%,0%,,,
,Contaminación,,N/EL,N/EL,N/EL,"70,679 %","70,679 %",,,
,Economía circular,,N/EL,N/EL,N/EL,0%,0%,,,
,Biodiversidad,,N/EL,N/EL,N/EL,0%,0%,,,
"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"")",Mitigación del cambio climático,,,,,,,,,
,Adaptación al cambio climático,,,,,,,,,
,Agua,,,,,,,,,
,Contaminación,,,,,,,,,
,Economía circular,,,,,,,,,
,Biodiversidad,,,,,,,,,
,Garantía mínimas,,,,,,,,,
,"Proporción CapEx que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2023",,"0,030 %","68,457 %",N/A,"68,516 %","70,661 %",,,
,Categoría actividad facilitadora,,,,,,,,,
,Categoría actividad de transición,,,,,,,,,
