,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
,,30/06/2025,30/06/2024
A) PROFIT/(LOSS) FOR PERIOD (from Income Statement),1305,39.700,44.338
B) OTHER COMPREHENSIVE INCOME - ITEMS NOT RECLASSIFIED TO PROFIT AND LOSS FOR THE PERIOD,1310,,
"1. Remeasurement (reversal of remeasurement) of property, plant and equipment and intangible assets",1311,,
2. Actuarial gains and losses,1344,,
3. Share in other recognized comprehensive income from investments in joint ventures and associates,1342,,
4. Other income and expenses not reclassified to profit and loss for the period,1343,,
5. Tax effect,1345,,
C) OTHER COMPREHENSIVE INCOME - ITEMS THAT MAY SUBSEQUENTLY BE RECLASSFIED TO PROFIT AND LOSS FOR THE PERIOD:,1350,(18),(8)
1. Available-for-sale financial assets:,1355,,
a) Gains/(losses) on remeasurement,1356,,
b) Amounts transferred to profit and loss,1357,,
c) Other reclassifications,1358,,
2. Cash-flow hedges:,1360,,
a) Gains/(losses) on remeasurement,1361,,
b) Amounts transferred to profit and loss,1362,,
c) Amounts transferred at initial value of hedged items,1363,,
d) Other reclassifications,1364,,
3. Conversion differences:,1365,(18),(8)
a) Gains/(losses) on remeasurement,1366,(18),(8)
b) Amounts transferred to profit and loss,1367,,
c) Other reclassifications,1368,,
4. Share in other recognized comprehensive income from investments in joint ventures and associates,1370,,
a) Gains/(losses) from measurement,1371,,
b) Amounts transferred to profit and loss,1372,,
c) Other reclassifications,1373,,
5. Other comprehensive income and expenses that may subsequently be reclassified to profit and loss for the period:,1375,-,-
a) Gains/(losses) on remeasurement,1376,-,-
b) Amounts transferred to profit and loss,1377,,
c) Other reclassifications,1978,,
6. Tax effect,1380,-,-
TOTAL COMPREHENSIVE INCOME FOR THE PERIOD (A+B+C),1400,39.682,44.330
a) Attributed to parent company,1398,39.718,44.337
b) Attributed to non-controlling interests,1399,(36),(7)
