,,Development,"Patents, licences & trademarks",Computer software,Total
Balance at 01.01.17,,,,,
Cost,,"4,251","21,041","5,327","30,619"
Accumulated amortisation,,(11),"(4,373)","(3,732)","(8,116)"
Carrying amount 01.01.17,,"4,240","16,668","1,595","22,503"
Additions,,"2,676",25,436,"3,137"
Additions generated internally,,"2,057",-,-,"2,057"
Amortisation charge,,(297),"(2,063)",(782),"(3,142)"
Balance at 31.12.17,,,,,
Cost,,"8,984","21,066","5,763","35,813"
Accumulated amortisation,,(308),"(6,436)","(4,514)","(11,258)"
Carrying amounts 31.12.17,,"8,676","14,630","1,249","24,555"
Additions,,110,"9,010",761,"9,881"
Amortisation charge,,(452),"(1,803)",(563),"(2,818)"
Balance at 31.12.18,,,,,
Cost,,"9,094","30,076","6,524","45,694"
Accumulated amortisation,,(760),"(8,239)","(5,077)","(14,076)"
Carrying amount 31.12.18,,"8,334","21,837","1,447","31,618"
