,,Equity,,,,,,,
,,,Share,,,Other,Adjust-,"Grants, donations",
,,Share,premium,Treasury,Profit/,equity,ments for,and,Total
,,capital,and reserves,stock,(loss) for the period,instru- ments,changes in value,legacies received,equity
Opening balance at 01/01/2017,3010,3.000,117.616,(8.701),29.932,,(3),3.904,145.748
Adjustments for changes in accounting policies,3011,,,,,,,,
Adjustments for errors,3012,,,,,,,,
Adjusted opening balance,3015,3.000,117.616,(8.701),29.932,,(3),3.904,145.748
I. Total recognized income/(expenses),3020,,,,18.673,,1,(415),18.259
II. Transactions with shareholders or owners,3025,,185,294,(9.025),,,,(8.546)
1. Capital increases/(reductions),3026,,,,,,,,
2. Conversion of financial liabilities to equity,3027,,,,,,,,
3. Distribution of dividends,3028,,,,(9.025),,,,(9.025)
4. Treasury stock transactions (net),3029,,185,294,,,,,479
5.Increases/(reductions) due to business combinations,3030,,,,,,,,
6. Other transactions with shareholders or owners,3032,,,,,,,,
III. Other equity transactions,3035,,20.633,,(20.907),,,,(274)
1. Payments based on equity instruments,3036,,,,,,,,
2. Transfers between equity items,3037,,20.907,,(20.907),,,,
3. Other changes,3038,,(274),,,,,,(274)
Closing balance at 31/12/2017,3040,3.000,138.434,(8.407),18.673,,(2),3.489,155.187
