,Miles de euros,,,,,
,Cuenta de pérdidas y ganancias,,,,Ingresos y gastos imputados directamente al patrimonio neto,
Saldo ingresos y gastos,,,75.546,,,(346)
,Aumentos Disminuciones Total,,,,Aumentos Disminuciones Total,
Impuesto sobre Sociedades Diferencias permanentes - Individuales - De consolidación Diferencias temporarias: - Individuales - con origen en el ejercicio - con origen en ejercicios ant. - De Consolidación - con origen en el ejercicio - con origen en ejercicios ant. Base imponible previa,,,(1.687),,,(113)
,,,,,,
,619,(60.373),(59.754),,— — — — — —,
,— — —,,,,,
,,,,,,
,1.727,—,1.727,,— — — — — —,
,362 (1.842) (1.480),,,,,
,,,,,,
,— (8.396) (8.396) 12.846 — 12.846,,,,— — — — — —,
,,,18.802,,,(468)
