,Fabricación,Comercialización,Otros,Total agregado,Operaciones Inter- segmentos,Total Consolidado
Total ingresos segmento,619.230 414.153,,—,1.033.383,(215.685),817.698
,,,,,,
Beneficio/(pérdida),190.167 10.580,,(9) 200.738 (1.073) 199.665,,,
Impuesto de sociedades,52.844 5.826 (3) 58.667 (365) 58.302,,,,,
Rtdo. antes de imptos.,243.011 16.406 (12) 259.405 (1.438) 257.967,,,,,
Resultado financiero,395 (2.315) 14.169 8.724,,— —,(1.920) — (1.920),,
Amortización,,,,22.893,(22),22.871
EBITDA (*),257.575 22.815 (12) 280.378 (1.460) 278.918,,,,,
,,,,,,
Amortización,(14.169) (8.724),,—,(22.893),22,(22.871)
EBIT (**),243.406 14.091 (12) 257.485 (1.438) 256.047,,,,,
