,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-103057920.0,-17494615.778899,276218040.0,119181630.0
Tax Rate For Calcs,0.2556,0.284929,0.2958,0.3259
Normalized EBITDA,44160700000.0,37252600000.0,34066600000.0,28448600000.0
Total Unusual Items,-403200000.0,-61400000.0,933800000.0,365700000.0
Total Unusual Items Excluding Goodwill,-403200000.0,-61400000.0,933800000.0,365700000.0
Net Income From Continuing Operation Net Minority Interest,21633700000.0,19112500000.0,16563800000.0,12452300000.0
Reconciled Depreciation,11188700000.0,7949300000.0,7953000000.0,7020300000.0
Reconciled Cost Of Revenue,35251100000.0,28844900000.0,27877300000.0,28276900000.0
EBITDA,43757500000.0,37191200000.0,35000400000.0,28814300000.0
EBIT,32568800000.0,29241900000.0,27047400000.0,21794000000.0
Net Interest Income,-3466400000.0,-2321200000.0,-3420800000.0,-3186600000.0
Interest Expense,3846900000.0,2513800000.0,3526300000.0,3322400000.0
Interest Income,384300000.0,201900000.0,114800000.0,147800000.0
Normalized Income,21933842080.0,19156405384.2211,15906218040.0,12205781630.0
Net Income From Continuing And Discontinued Operation,21633700000.0,19112500000.0,16563800000.0,12452300000.0
Total Expenses,103132300000.0,83911900000.0,79899600000.0,73236700000.0
Diluted Average Shares,338445440.0,338445440.0,338445440.0,338445440.0
Basic Average Shares,338445440.0,338445440.0,338445440.0,338445440.0
Diluted EPS,63.92,56.47,48.94,36.79
Basic EPS,63.92,56.47,48.94,36.79
Diluted NI Availto Com Stockholders,21633700000.0,19112500000.0,16563800000.0,12452300000.0
Net Income Common Stockholders,21633700000.0,19112500000.0,16563800000.0,12452300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,21633700000.0,19112500000.0,16563800000.0,12452300000.0
Minority Interests,251900000.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,21381800000.0,19112500000.0,16563800000.0,12452300000.0
Net Income Continuous Operations,21381800000.0,19112500000.0,16563800000.0,12452300000.0
Tax Provision,7340100000.0,7615600000.0,6957300000.0,6019300000.0
Pretax Income,28721900000.0,26728100000.0,23521100000.0,18471600000.0
Other Non Operating Income Expenses,28200000.0,16200000.0,323700000.0,73100000.0
Special Income Charges,-712600000.0,-228700000.0,753900000.0,170600000.0
Other Special Charges,710900000.0,228700000.0,-883600000.0,-216200000.0
Impairment Of Capital Assets,1700000.0,0.0,129700000.0,45600000.0
Restructuring And Mergern Acquisition,890000000.0,,,
Net Non Operating Interest Income Expense,-3466400000.0,-2321200000.0,-3420800000.0,-3186600000.0
Total Other Finance Cost,3800000.0,9300000.0,9300000.0,12000000.0
Interest Expense Non Operating,3846900000.0,2513800000.0,3526300000.0,3322400000.0
Interest Income Non Operating,384300000.0,201900000.0,114800000.0,147800000.0
Operating Income,34397600000.0,29260600000.0,25723500000.0,21400200000.0
Operating Expense,67881200000.0,55067000000.0,52022300000.0,44959800000.0
Other Operating Expenses,6504700000.0,5689200000.0,5630200000.0,5133100000.0
Depreciation And Amortization In Income Statement,11187000000.0,7949300000.0,7953000000.0,7020300000.0
Amortization,7994400000.0,5427100000.0,5429200000.0,4765600000.0
Depreciation Income Statement,3192600000.0,2522200000.0,2523800000.0,2254700000.0
Research And Development,449500000.0,304200000.0,247300000.0,312700000.0
Selling General And Administration,23920600000.0,19988900000.0,19019600000.0,16407500000.0
Selling And Marketing Expense,14909000000.0,12606700000.0,11296800000.0,10269900000.0
General And Administrative Expense,9011600000.0,7382200000.0,7722800000.0,6137600000.0
Gross Profit,102278800000.0,84327600000.0,77745800000.0,66360000000.0
Cost Of Revenue,35251100000.0,28844900000.0,27877300000.0,28276900000.0
Total Revenue,137529900000.0,113172500000.0,105623100000.0,94636900000.0
Operating Revenue,137529900000.0,113172500000.0,105623100000.0,94636900000.0
