,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,-12781595.45862,-850446.687551,
Tax Rate For Calcs,0.079756,0.178057,0.170421,0.170089,
Normalized EBITDA,17341000000.0,25505000000.0,18798000000.0,10357000000.0,
Total Unusual Items,,860000000.0,-75000000.0,-5000000.0,240000000.0
Total Unusual Items Excluding Goodwill,,860000000.0,-75000000.0,-5000000.0,240000000.0
Net Income From Continuing Operation Net Minority Interest,14185000000.0,18854000000.0,13883000000.0,7153000000.0,
Reconciled Depreciation,2066000000.0,2352000000.0,1868000000.0,1638000000.0,
Reconciled Cost Of Revenue,6905000000.0,6898000000.0,8625000000.0,7455000000.0,
EBITDA,17341000000.0,25505000000.0,18723000000.0,10352000000.0,
EBIT,15275000000.0,23153000000.0,16855000000.0,8714000000.0,
Net Interest Income,-367000000.0,-239000000.0,818000000.0,367000000.0,
Interest Expense,367000000.0,239000000.0,120000000.0,95000000.0,
Interest Income,,1872000000.0,1010000000.0,512000000.0,390000000.0
Normalized Income,14185000000.0,18854000000.0,13945218404.54138,7157149553.312449,
Net Income From Continuing And Discontinued Operation,14185000000.0,18854000000.0,13883000000.0,7153000000.0,
Total Expenses,28484000000.0,24687000000.0,24020000000.0,19068000000.0,
Rent Expense Supplemental,,46000000.0,59000000.0,49000000.0,32000000.0
Diluted Average Shares,179103535.0,179118374.0,179495611.0,182552365.0,
Basic Average Shares,179103535.0,179118374.0,179495611.0,182552365.0,
Diluted EPS,79.2,105.26,77.34,39.18,
Basic EPS,79.2,105.26,77.34,39.18,
Diluted NI Availto Com Stockholders,14185000000.0,18854000000.0,13883000000.0,7153000000.0,
Net Income Common Stockholders,14185000000.0,18854000000.0,13883000000.0,7153000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,14185000000.0,18854000000.0,13883000000.0,7153000000.0,
Minority Interests,0.0,20000000.0,0.0,0.0,
Net Income Including Noncontrolling Interests,14185000000.0,18834000000.0,13883000000.0,7153000000.0,
Net Income Continuous Operations,14185000000.0,18834000000.0,13883000000.0,7153000000.0,
Tax Provision,1189000000.0,4080000000.0,2852000000.0,1466000000.0,
Pretax Income,14908000000.0,22914000000.0,16735000000.0,8619000000.0,
Other Non Operating Income Expenses,2976000000.0,3545000000.0,118000000.0,141000000.0,
Special Income Charges,,,-68000000.0,47000000.0,228000000.0
Other Special Charges,,-901000000.0,17000000.0,-178000000.0,-427000000.0
Write Off,,11000000.0,51000000.0,131000000.0,199000000.0
Impairment Of Capital Assets,,30000000.0,0.0,,
Net Non Operating Interest Income Expense,-367000000.0,-239000000.0,818000000.0,367000000.0,
Total Other Finance Cost,,69000000.0,72000000.0,50000000.0,45000000.0
Interest Expense Non Operating,367000000.0,239000000.0,120000000.0,95000000.0,
Interest Income Non Operating,,1872000000.0,1010000000.0,512000000.0,390000000.0
Operating Income,12299000000.0,19608000000.0,15768000000.0,7901000000.0,
Operating Expense,21579000000.0,17789000000.0,15395000000.0,11613000000.0,
Other Operating Expenses,12641000000.0,9492000000.0,4316000000.0,2226000000.0,
Depreciation And Amortization In Income Statement,2066000000.0,2352000000.0,1868000000.0,1638000000.0,
Depreciation Income Statement,2066000000.0,2352000000.0,1868000000.0,1638000000.0,
Research And Development,,1134000000.0,1417000000.0,902000000.0,1769000000.0
Selling General And Administration,,,2683000000.0,2030000000.0,1255000000.0
Selling And Marketing Expense,,1364000000.0,1530000000.0,961000000.0,437000000.0
General And Administrative Expense,,1749000000.0,1153000000.0,1069000000.0,818000000.0
Rent And Landing Fees,,46000000.0,59000000.0,49000000.0,32000000.0
Gross Profit,33878000000.0,37397000000.0,31163000000.0,19514000000.0,
Cost Of Revenue,6905000000.0,6898000000.0,8625000000.0,7455000000.0,
Total Revenue,40783000000.0,44295000000.0,39788000000.0,26969000000.0,
Operating Revenue,40783000000.0,44295000000.0,39988000000.0,26969000000.0,
