,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-594930000.0,2669867698.505248,1555350000.0,-149700000.0
Tax Rate For Calcs,0.21,0.242341,0.15,0.15
Normalized EBITDA,36527000000.0,33596000000.0,30315000000.0,25290000000.0
Total Unusual Items,-2833000000.0,11017000000.0,10369000000.0,-998000000.0
Total Unusual Items Excluding Goodwill,-2833000000.0,11017000000.0,10369000000.0,-998000000.0
Net Income From Continuing Operation Net Minority Interest,3856000000.0,10133000000.0,10225000000.0,4627000000.0
Reconciled Depreciation,19567000000.0,16870000000.0,15688000000.0,11131000000.0
Reconciled Cost Of Revenue,56948000000.0,51980000000.0,49066000000.0,36668000000.0
EBITDA,33694000000.0,44613000000.0,40684000000.0,24292000000.0
EBIT,14127000000.0,27743000000.0,24996000000.0,13161000000.0
Net Interest Income,-8749000000.0,-7887000000.0,-8131000000.0,-3066000000.0
Interest Expense,9648000000.0,8877000000.0,9744000000.0,4190000000.0
Interest Income,1154000000.0,1087000000.0,1613000000.0,1124000000.0
Normalized Income,6094070000.0,1785867698.505248,1411350000.0,5475300000.0
Net Income From Continuing And Discontinued Operation,3856000000.0,10133000000.0,10225000000.0,4627000000.0
Total Expenses,150578000000.0,134263000000.0,127613000000.0,93070000000.0
Rent Expense Supplemental,253000000.0,195000000.0,3000000.0,29000000.0
Diluted Average Shares,1368563074.0,1198201789.0,1196870502.0,1195925590.0
Basic Average Shares,1366199012.0,1197455499.0,1195428813.0,1193095945.0
Diluted EPS,2.82,8.46,8.54,3.87
Basic EPS,2.82,8.46,8.55,3.88
Diluted NI Availto Com Stockholders,3856000000.0,10133000000.0,10225000000.0,4627000000.0
Net Income Common Stockholders,3856000000.0,10133000000.0,10225000000.0,4627000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3856000000.0,10133000000.0,10225000000.0,4627000000.0
Minority Interests,168000000.0,-4161000000.0,-2753000000.0,-1803000000.0
Net Income Including Noncontrolling Interests,3688000000.0,14294000000.0,12978000000.0,6430000000.0
Net Income Continuous Operations,3688000000.0,14294000000.0,12978000000.0,6430000000.0
Tax Provision,791000000.0,4572000000.0,2274000000.0,2541000000.0
Pretax Income,4479000000.0,18866000000.0,15252000000.0,8971000000.0
Other Non Operating Income Expenses,639000000.0,11000000.0,34000000.0,39000000.0
Special Income Charges,-4465000000.0,11432000000.0,8668000000.0,-806000000.0
Other Special Charges,4187000000.0,-11462000000.0,-8679000000.0,796000000.0
Write Off,278000000.0,30000000.0,11000000.0,10000000.0
Net Non Operating Interest Income Expense,-8749000000.0,-7887000000.0,-8131000000.0,-3066000000.0
Total Other Finance Cost,255000000.0,97000000.0,,
Interest Expense Non Operating,9648000000.0,8877000000.0,9744000000.0,4190000000.0
Interest Income Non Operating,1154000000.0,1087000000.0,1613000000.0,1124000000.0
Operating Income,17221000000.0,16259000000.0,14345000000.0,16271000000.0
Operating Expense,93630000000.0,82283000000.0,78547000000.0,56402000000.0
Other Operating Expenses,19178000000.0,16583000000.0,22128000000.0,15917000000.0
Depreciation And Amortization In Income Statement,19567000000.0,16870000000.0,15688000000.0,11131000000.0
Amortization,8022000000.0,6859000000.0,6295000000.0,2914000000.0
Depreciation Income Statement,11545000000.0,10011000000.0,9393000000.0,8217000000.0
Research And Development,7085000000.0,6341000000.0,7123000000.0,4898000000.0
Selling General And Administration,13732000000.0,12720000000.0,8860000000.0,4867000000.0
Selling And Marketing Expense,6988000000.0,6499000000.0,2966000000.0,2216000000.0
General And Administrative Expense,6744000000.0,6221000000.0,5894000000.0,2651000000.0
Rent And Landing Fees,253000000.0,195000000.0,3000000.0,29000000.0
Gross Profit,110851000000.0,98542000000.0,92892000000.0,72673000000.0
Cost Of Revenue,56948000000.0,51980000000.0,49066000000.0,36668000000.0
Total Revenue,167799000000.0,150522000000.0,141958000000.0,109341000000.0
Operating Revenue,167799000000.0,150522000000.0,141958000000.0,109341000000.0
