,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-7110751293.596259,-938081922.521939,-2751225000.0,-2319516000.0,
Tax Rate For Calcs,0.31379,0.251619,0.3,0.3,
Normalized EBITDA,50330360000.0,24651030000.0,21003490000.0,19733180000.0,
Total Unusual Items,-22660840000.0,-3728190000.0,-9170750000.0,-7731720000.0,
Total Unusual Items Excluding Goodwill,-22660840000.0,-3728190000.0,-9170750000.0,-7731720000.0,
Net Income From Continuing Operation Net Minority Interest,13618510000.0,10470970000.0,-18989960000.0,-1697160000.0,
Reconciled Depreciation,5734810000.0,4860100000.0,6308100000.0,6112680000.0,
Reconciled Cost Of Revenue,47474630000.0,43533420000.0,48790400000.0,45866050000.0,
EBITDA,27669520000.0,20922840000.0,11832740000.0,12001460000.0,
EBIT,21934710000.0,16062740000.0,5524640000.0,5888780000.0,
Net Interest Income,-2087250000.0,-2070650000.0,-5097930000.0,-3420360000.0,
Interest Expense,2087250000.0,2070650000.0,5159690000.0,3490360000.0,
Interest Income,,439350000.0,61760000.0,70000000.0,94350000.0
Normalized Income,29168598706.40374,13261078077.478062,-12570435000.0,3715044000.0,
Net Income From Continuing And Discontinued Operation,13618510000.0,10470970000.0,-15016680000.0,2972450000.0,
Total Expenses,127124670000.0,112804650000.0,110043810000.0,103530640000.0,
Rent Expense Supplemental,,515080000.0,626120000.0,555990000.0,353540000.0
Diluted Average Shares,282307421.0,282160334.0,282178746.0,282168156.0,
Basic Average Shares,282190427.0,282160334.0,282170724.0,282168156.0,
Diluted EPS,48.24,37.11,-53.22,10.53,
Basic EPS,48.26,37.11,-53.22,10.53,
Diluted NI Availto Com Stockholders,13618510000.0,10470970000.0,-15016680000.0,2972450000.0,
Net Income Common Stockholders,13618510000.0,10470970000.0,-15016680000.0,2972450000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,13618510000.0,10470970000.0,-15016680000.0,2972450000.0,
Minority Interests,-1010000.0,-450000.0,-681460000.0,-801550000.0,
Net Income Including Noncontrolling Interests,13619520000.0,10471420000.0,-14335220000.0,3774000000.0,
Net Income Discontinuous Operations,,0.0,3973280000.0,4669610000.0,
Net Income Continuous Operations,13619520000.0,10471420000.0,-18308500000.0,-895610000.0,
Tax Provision,6227940000.0,3520670000.0,18673450000.0,3294030000.0,
Pretax Income,19847460000.0,13992090000.0,364950000.0,2398420000.0,
Other Non Operating Income Expenses,4606190000.0,1137220000.0,8322860000.0,723290000.0,
Special Income Charges,-22660840000.0,-3728190000.0,-9170750000.0,-7731720000.0,
Other Special Charges,20381930000.0,3728190000.0,19995020000.0,7601290000.0,
Write Off,,30960000.0,176500000.0,130430000.0,0.0
Impairment Of Capital Assets,2278910000.0,,-11000770000.0,,2609130000.0
Restructuring And Mergern Acquisition,,1978200000.0,,,
Net Non Operating Interest Income Expense,-2087250000.0,-2070650000.0,-5097930000.0,-3420360000.0,
Interest Expense Non Operating,2087250000.0,2070650000.0,5159690000.0,3490360000.0,
Interest Income Non Operating,,439350000.0,61760000.0,70000000.0,94350000.0
Operating Income,39989360000.0,18653710000.0,6310750000.0,10788740000.0,
Operating Expense,79650040000.0,69271230000.0,61253410000.0,57664590000.0,
Other Operating Expenses,40847780000.0,35949560000.0,13190790000.0,11611770000.0,
Depreciation And Amortization In Income Statement,5734810000.0,4860100000.0,5819060000.0,5691740000.0,
Amortization,,1265630000.0,,,
Depreciation Income Statement,5734810000.0,4860100000.0,5819060000.0,5691740000.0,
Selling General And Administration,,16032880000.0,13492530000.0,14320440000.0,12970030000.0
Selling And Marketing Expense,,12705150000.0,10922730000.0,11371960000.0,8963070000.0
General And Administrative Expense,,3327730000.0,2569800000.0,2948480000.0,4006960000.0
Rent And Landing Fees,,515080000.0,626120000.0,555990000.0,353540000.0
Gross Profit,119639400000.0,87924940000.0,67564160000.0,68453330000.0,
Cost Of Revenue,47474630000.0,43533420000.0,48790400000.0,45866050000.0,
Total Revenue,167114030000.0,131458360000.0,116354560000.0,114319380000.0,
Operating Revenue,167114030000.0,131458360000.0,116354560000.0,114319380000.0,
