,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-1063986000.0,-335837370.865459,-533845000.0,-163465323.651236
Tax Rate For Calcs,0.235,0.201571,0.13,0.090088
Normalized EBITDA,188484000000.0,167254900000.0,142938000000.0,122923100000.0
Total Unusual Items,-4527600000.0,-1666100000.0,-4106500000.0,-1814500000.0
Total Unusual Items Excluding Goodwill,-4527600000.0,-1666100000.0,-4106500000.0,-1814500000.0
Net Income From Continuing Operation Net Minority Interest,114794200000.0,109290400000.0,95763800000.0,84735800000.0
Reconciled Depreciation,29378500000.0,25753900000.0,25567900000.0,25304300000.0
Reconciled Cost Of Revenue,131731400000.0,121975100000.0,120696600000.0,119424200000.0
EBITDA,183956400000.0,165588800000.0,138831500000.0,121108600000.0
EBIT,154577900000.0,139834900000.0,113263600000.0,95804300000.0
Net Interest Income,5760900000.0,9987700000.0,7844400000.0,2125400000.0
Interest Expense,3389100000.0,2313600000.0,2384700000.0,1720000000.0
Interest Income,9150000000.0,12301300000.0,10229100000.0,3845400000.0
Normalized Income,118257814000.0,110620662629.13454,99336455000.0,86386834676.34877
Net Income From Continuing And Discontinued Operation,114794200000.0,109290400000.0,95763800000.0,84735800000.0
Total Expenses,446252900000.0,394600500000.0,372904200000.0,340015100000.0
Rent Expense Supplemental,994000000.0,777400000.0,734300000.0,588700000.0
Diluted Average Shares,2399334970.0,2399334970.0,2399334970.0,2399334970.0
Basic Average Shares,2399334970.0,2399334970.0,2399334970.0,2399334970.0
Diluted EPS,47.8,45.6,39.9,35.3
Basic EPS,47.8,45.6,39.9,35.3
Diluted NI Availto Com Stockholders,114794200000.0,109290400000.0,95763800000.0,84735800000.0
Net Income Common Stockholders,114794200000.0,109290400000.0,95763800000.0,84735800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,114794200000.0,109290400000.0,95763800000.0,84735800000.0
Minority Interests,-292300000.0,-357100000.0,-336500000.0,-393600000.0
Net Income Including Noncontrolling Interests,115086500000.0,109647500000.0,96100300000.0,85129400000.0
Net Income Continuous Operations,115086500000.0,109647500000.0,96100300000.0,85129400000.0
Tax Provision,35543600000.0,27720300000.0,14394500000.0,8475900000.0
Pretax Income,151188800000.0,137521300000.0,110878900000.0,94084300000.0
Other Non Operating Income Expenses,1011500000.0,863400000.0,1064900000.0,796300000.0
Special Income Charges,-13288600000.0,-7133400000.0,-5028400000.0,-1808300000.0
Other Special Charges,11455300000.0,3095300000.0,2726300000.0,-208700000.0
Write Off,125000000.0,2953000000.0,0.0,1644300000.0
Impairment Of Capital Assets,1708300000.0,71300000.0,1562600000.0,302500000.0
Restructuring And Mergern Acquisition,,1013800000.0,739500000.0,70200000.0
Net Non Operating Interest Income Expense,5760900000.0,9987700000.0,7844400000.0,2125400000.0
Interest Expense Non Operating,3389100000.0,2313600000.0,2384700000.0,1720000000.0
Interest Income Non Operating,9150000000.0,12301300000.0,10229100000.0,3845400000.0
Operating Income,135948200000.0,125812000000.0,104680300000.0,92773600000.0
Operating Expense,314521500000.0,272625400000.0,252207600000.0,220590900000.0
Other Operating Expenses,57605600000.0,48730300000.0,46824800000.0,37368700000.0
Depreciation And Amortization In Income Statement,29378500000.0,25753900000.0,25567900000.0,25294300000.0
Amortization,15666500000.0,12303300000.0,11812200000.0,
Depreciation Income Statement,13712000000.0,13450600000.0,13755700000.0,25294300000.0
Selling General And Administration,114774100000.0,103004500000.0,92174000000.0,80447000000.0
Selling And Marketing Expense,77482400000.0,65768600000.0,57802600000.0,52262400000.0
General And Administrative Expense,37291700000.0,37235900000.0,34371400000.0,28184600000.0
Rent And Landing Fees,994000000.0,777400000.0,734300000.0,588700000.0
Gross Profit,450469700000.0,398437400000.0,356887900000.0,313364500000.0
Cost Of Revenue,131731400000.0,121975100000.0,120696600000.0,119424200000.0
Total Revenue,582201100000.0,520412500000.0,477584500000.0,432788700000.0
Operating Revenue,582201100000.0,520412500000.0,477584500000.0,432788700000.0
