,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,302000000.0,2179000000.0,4503000000.0,4001000000.0,-1200000000.0,,
Repayment Of Debt,-1186000000.0,-127000000.0,-2906000000.0,6000000.0,-4418000000.0,,
Issuance Of Debt,,,5991000000.0,0.0,3687000000.0,0.0,732000000.0
Capital Expenditure,-533000000.0,-436000000.0,-845000000.0,-602000000.0,-618000000.0,,
Interest Paid Supplemental Data,1248000000.0,293000000.0,981000000.0,275000000.0,1130000000.0,,
Income Tax Paid Supplemental Data,3467000000.0,72000000.0,1017000000.0,178000000.0,3341000000.0,,
End Cash Position,1034000000.0,1760000000.0,1197000000.0,1394000000.0,1694000000.0,,
Beginning Cash Position,1760000000.0,1197000000.0,1394000000.0,1694000000.0,1481000000.0,,
Effect Of Exchange Rate Changes,-4000000.0,19000000.0,5000000.0,2000000.0,41000000.0,,
Changes In Cash,-722000000.0,544000000.0,-202000000.0,-302000000.0,172000000.0,,
Financing Cash Flow,-3663000000.0,-2856000000.0,596000000.0,-2477000000.0,-3196000000.0,,
Cash Flow From Continuing Financing Activities,-3664000000.0,-2856000000.0,597000000.0,-2476000000.0,-3197000000.0,,
Net Other Financing Charges,-26000000.0,-284000000.0,-44000000.0,-39000000.0,-20000000.0,,
Cash Dividends Paid,-2451000000.0,-2445000000.0,-2445000000.0,-2444000000.0,-2445000000.0,,
Common Stock Dividend Paid,-2451000000.0,-2445000000.0,-2445000000.0,-2444000000.0,-2445000000.0,,
Net Issuance Payments Of Debt,-1186000000.0,-127000000.0,3085000000.0,6000000.0,-731000000.0,,
Net Short Term Debt Issuance,64000000.0,-127000000.0,101000000.0,6000000.0,-668000000.0,,
Short Term Debt Payments,64000000.0,-127000000.0,101000000.0,6000000.0,-668000000.0,,
Short Term Debt Issuance,,,0.0,0.0,0.0,0.0,732000000.0
Net Long Term Debt Issuance,,,2984000000.0,0.0,-63000000.0,0.0,0.0
Long Term Debt Payments,,,-3007000000.0,0.0,-3750000000.0,0.0,0.0
Long Term Debt Issuance,,,5991000000.0,0.0,,,0.0
Investing Cash Flow,2106000000.0,785000000.0,-6146000000.0,-2430000000.0,3951000000.0,,
Cash Flow From Continuing Investing Activities,2106000000.0,785000000.0,-6146000000.0,-2428000000.0,3948000000.0,,
Net Other Investing Changes,-1000000.0,22000000.0,-137000000.0,12000000.0,-9000000.0,,
Net Investment Purchase And Sale,2640000000.0,1199000000.0,1763000000.0,-1840000000.0,4578000000.0,,
Sale Of Investment,4383000000.0,4664000000.0,5314000000.0,3095000000.0,6608000000.0,,
Purchase Of Investment,-1743000000.0,-3465000000.0,-3551000000.0,-4935000000.0,-2030000000.0,,
Net Business Purchase And Sale,0.0,0.0,-6927000000.0,0.0,0.0,,
Sale Of Business,0.0,0.0,0.0,0.0,0.0,,
Purchase Of Business,,,,,,,0.0
Net PPE Purchase And Sale,-533000000.0,-436000000.0,-845000000.0,-602000000.0,-618000000.0,,
Purchase Of PPE,-533000000.0,-436000000.0,-845000000.0,-602000000.0,-618000000.0,,
Operating Cash Flow,835000000.0,2615000000.0,5348000000.0,4603000000.0,-582000000.0,,
Cash Flow From Continuing Operating Activities,860000000.0,2590000000.0,5350000000.0,4603000000.0,-582000000.0,,
Change In Working Capital,-1816000000.0,-1732000000.0,1590000000.0,-36000000.0,-4989000000.0,,
Other Non Cash Items,-203000000.0,-241000000.0,-487000000.0,-376000000.0,-206000000.0,,
Stock Based Compensation,249000000.0,272000000.0,225000000.0,201000000.0,203000000.0,,
Asset Impairment Charge,4393000000.0,32000000.0,4406000000.0,366000000.0,154000000.0,,
Deferred Tax,-1320000000.0,-12000000.0,-433000000.0,-765000000.0,-272000000.0,,
Deferred Income Tax,-1320000000.0,-12000000.0,-433000000.0,-765000000.0,-272000000.0,,
Depreciation Amortization Depletion,1622000000.0,1613000000.0,1687000000.0,1662000000.0,1625000000.0,,
Depreciation And Amortization,1622000000.0,1613000000.0,1687000000.0,1662000000.0,1625000000.0,,
Net Income From Continuing Operations,-220000000.0,2683000000.0,-1640000000.0,3551000000.0,2903000000.0,,
