,,,,,,,,,
,,,,,,,,"Grants,",
,,,,,,,,donations &,
,Share,Share,,Treasury,Retained,Profit for,Adjusted for,legacies,
,capital,premium,Reserves,shares,earnings,the year,changes in,received,
,(Note 14),(Note 14),(Note 15),(Note 15),(Note 15),(Note 16),value,(Note 17),TOTAL
BALANCE AT END OF 2019,"3,364","87,636","7,032","(10,341)","153,338","25,553",(3),"2,750","269,329"
Adjustments for changes in policies 2019 and prior,,,,,,,,,
,—,—,—,—,—,—,—,—,—
periods,,,,,,,,,
,,,,,,,,,
Adjustments for errors 2019 and prior periods,—,—,—,—,—,—,—,—,—
ADJUSTED BALANCE BEGINNING OF 2020,"3,364","87,636","7,032","(10,341)","153,338","25,553",(3),"2,750","269,329"
Total recognised income and expenses,—,—,—,—,"— 71,137",,—,(344),"70,793"
- Application of profit for 2019,—,—,—,—,"15,853","(15,853)",—,—,—
- Distribution of dividends,—,—,—,—,—,"(9,700)",—,—,"(9,700)"
- Transactions with treasury shares (net),—,—,—,"(9,844)","10,077",—,—,—,233
- Other movements on equity,—,—,—,—,31,—,—,—,31
BALANCE AT END OF 2020,"3,364","87,636","7,032","(20,185)","179,299","71,137",(3),"2,406","330,686"
Adj. for changes in policies 2020 and prior periods,—,—,—,—,—,—,—,—,—
Adjustments for errors 2020 and prior periods,—,—,—,—,—,—,—,—,—
ADJUSTED BALANCE BEGINNING OF 2021,"3,364","87,636","7,032","(20,185)","179,299","71,137",(3),"2,406","330,686"
Total recognised income and expenses,—,—,—,—,—,"65,143",1,(295),"64,849"
- Application of profit for 2020,—,—,—,—,"50,005","(50,005)",—,—,—
- Distribution of dividends,—,—,—,—,—,"(21,132)",—,—,"(21,132)"
- Transactions with treasury shares (net),—,—,—,"(47,339)","10,882",—,—,—,"(36,457)"
- Other transactions with shareholders or owners,—,—,—,"1,403",—,—,—,—,"1,403"
- Other movements on equity,—,—,—,—,282,—,—,—,282
BALANCE AT END OF 2021,"3,364","87,636","7,032","(66,121)","240,468","65,143",(2),"2,111","339,631"
