,,,,,,
,,Carrying,,,,
,% direct,amount of,,,Profit or loss,
,interest,interest,Capital,Reserves,for period,Total equity
"Pan Química Farmacéutica, S.A.",100 %,1.771,601,"1,274",68,"1,943"
,,,,,,
"Gineladius, S.L.",100 %,293,30,393,(26),397
Bertex Pharma GmbH (Nota 29 b),100 %,"1,236",25,66,(15),76
"Rovi Pharma Industrial Services,",,,,,,
,100 %,"7,370","7,816","31,216","111,444","150,476"
S.A.U.,,,,,,
,,,,,,
"Rovi Biotech, Limited",100 %,7,6,(133),91,(36)
"Rovi Biotech, S.r.l.",100 %,340,10,562,436,"1,008"
"Rovi Biotech, GmbH",100 %,"1,575",25,"1,363",552,"1,940"
Rovi S.A.S.,100 %,"1,510",5,—,27,32
Rovi Biotech sp.z.o.o.,100 %,487,21,413,(159),275
"Rovi Escúzar, S.L.",100 %,590,30,490,(294),226
Rovi Biotech GmbH,100 %,270,18,258,(16),260
,,"15,449",,,,
