,,Annual period ended,
,,,
,,31 December,
,,,
,Note,2021,2020
,,,
Profit before income tax,,"58,894","75,216"
Adjustments to profit,,61,"12,953"
Changes in working capital,,"27,901","(69,633)"
Other cash flows from operating activities,,"(22,176)","(4,631)"
Cash flows generated (used) in operating activities,25,"64,680","13,905"
,,,
Payments of investments,,"(7,034)","(11,074)"
Proceeds from disinvestments,,"(1,220)",813
Cash flows generated (used) in investing activities,26,"(8,254)","(10,261)"
,,,
Proceeds from and payments of financial liability instruments,,"4,983","(11,350)"
Dividend payments and remuneration of other equity instruments,,"(21,132)","(9,700)"
Transactions with treasury shares,,"(36,457)",233
Cash flows generated (used) in financing activities,27,"(52,606)","(20,817)"
,,,
NET INCREASE / DECREASE IN CASH AND CASH EQUIVALENTS,,"3,820","(17,173)"
Cash and cash equivalents at beginning of the year,13,"34,144","51,317"
Cash and cash equivalents at end of the year,13,"37,964","34,144"
