PERIODO ANTERIOR,,Patrimonio neto atribuido a la entidad dominante,,,,,,Intereses minoritarios,Total Patrimonio neto
,,Fondos propios,,,,,Ajustes por cambios de valor,,
,,Capital,Prima de emisión y Reservas (1),Acciones y particip. en patrimonio propias,Resultado del ejercicio atribuido a la entidad dominante,Otros instrumentos de patrimonio neto,,,
Saldo inicial al 01/01/2015 (periodo comparativo),3150,3.000,134.169,(2.813),24.116,,(2),,158.470
Ajuste por cambios de criterio contable,3151,,,,,,,,
Ajuste por errores,3152,,,,,,,,
Saldo inicial ajustado (periodo comparativo),3155,3.000,134.169,(2.813),24.116,,(2),,158.470
I. Total ingresos/ (gastos) reconocidos,3160,,,,19.809,,,,19.809
II. Operaciones con socios o propietarios,3165,,151,(5.299),(8.450),,,,(13.598)
1. Aumentos/ (Reducciones) de capital,3166,,,,,,,,
2. Conversión de pasivos financieros en patrimonio neto,3167,,,,,,,,
3. Distribución de dividendos,3168,,,,(8.450),,,,(8.450)
4. Operaciones con acciones o participaciones en patrimonio propias (netas),3169,,151,(5.299),,,,,(5.148)
5. Incrementos/ (Reducciones) por combinaciones de negocios,3170,,,,,,,,
6. Otras operaciones con socios o propietarios,3172,,,,,,,,
III. Otras variaciones de patrimonio neto,3175,,15.770,,(15.666),,,,104
1. Pagos basados en instrumentos de patrimonio,3176,,,,,,,,
2. Traspasos entre partidas de patrimonio neto,3177,,15.666,,(15.666),,,,
3. Otras variaciones,3178,,104,,,,,,104
Saldo final al 31/12/2015 (periodo comparativo),3180,3.000,150.090,(8.112),19.809,,(2),0,164.785
