,,CURRENT PERIOD,PREVIOUS PERIOD
,,31/12/2018,31/12/2017
A) EQUITY (A.1 + A.2 + A.3),1195,287.472,191.687
A.1) EQUITY,1180,287.475,191.689
1. Capital:,1171,3.364,3.000
a) Authorized capital,1161,3.364,3.000
b) Less: uncalled capital,1162,,
2. Share premium,1172,87.636,
3. Reserves,1173,600,600
4. Less treasury stock,1174,(8.812),(8.407)
5. Retained earnings,1178,186.792,179.255
6. Other shareholder contributions,1179,,
7. Profit or loss for period,1175,17.895,17.241
8. Less: interim dividend,1176,,
9. Other equity instruments,1177,,
A.2) ACCUMULATED OTHER COMPREHENSIVE INCOME,1188,(3),(2)
1. Items not reclassified to profit and loss for the period,1186,,
a) Equity instruments held at fair value through other comprehensive income,1185,,
b) Other,1190,,
2. Items that may be reclassified to profit and loss for the period,1187,(3),(2)
a) Hedging transactions,1182,,
b) Hedging differences,1184,,
c) Share in other comprehensive income of joint ventures and other,1192,,
d) Debt instruments held at fair value through other comprehensive income,1191,,
e) Other,1183,(3),(2)
EQUITY ATTRIBUTED TO PARENT COMPANY (A.1 + A.2),1189,287.472,191.687
A.3) NON-CONTROLLING INTERESTS,1193,,
B) NON-CURRENT ASSETS,1120,27.716,33.472
1. Grants,1117,,
2. Non-current provisions,1115,,
3. Non-current financial liabilities:,1116,16.589,27.029
a) Bank borrowings and debentures or other negotiable securities,1131,7.113,17.716
b) Other financial liabilities,1132,9.476,9.313
4. Deferred tax liabilities,1118,1.243,1.438
5. Non-current derivatives,1140,,
a) Hedging instruments,1141,,
b) Other,1142,,
6. Other non-current liabilities,1135,9.884,5.005
C) CURRENT LIABILITIES,1130,87.512,73.223
1. Liabilities related to current assets held for sale,1121,,
2. Current provisions,1122,,3.508
3. Current finanacial liabilities:,1123,17.635,16.208
a) Bank borrowings and debentures or other negotiable securities,1133,15.603,13.222
b) Other financial liabilities,1134,2.032,2.986
4. Trade and other payables:,1124,68.165,52.942
a) Trade payables,1125,47.875,42.129
b) Other payables,1126,20.290,10.813
c) Current tax liabilities,1127,,
5. Current derivatives,1145,,
a) Hedging instruments,1146,,
b) Other,1147,,
5. Other current liabilities,1136,1.712,565
TOTAL EQUITY AND LIABILITIES (A + B + C),1200,402.700,298.382
