"March 31, 2025","December 31, 2024",
,,
346.1,342.4,3.7
467.9,489.6,(21.8)
814.0,832.0,(18.1)
,,
599.5,581.5,17.9
,,
88.2,93.8,(5.6)
85.3,90.7,(5.5)
126.3,156.7,(30.4)
23.1,23.7,(0.6)
214.5,250.5,(36.0)
814.0,832.0,-18.1
