Residuos no peligrosos no destinados a eliminación,Escúzar,Granada,Madrid,SSRR,Alcalá de Henares,Distribución,Total
2025,,,,,,,
"Preparación para la reutilización 0,00 0,00 0,00 0,00 0,00 0,00",,,,,,,"0,00"
"Reciclaje 8,07 48,90 60,81 321,54 276,00 2,01",,,,,,,"717,33"
"Otras operaciones de valorización 21,34 93,88 170,62 171,51 799,00 2,98",,,,,,,"1.259,34"
Total,"29,42","142,78","231,43","493,05","1.075,00","4,99","1.976,67"
2024,,,,,,,
"Preparación para la reutilización 0,00 0,00 0,00 0,00 0,00 0,00",,,,,,,"0,00"
"Reciclaje 0,08 17,16 91,03 181,16 700,74 3,72",,,,,,,"993,88"
"Otras operaciones de valorización 111,84 17,14 225,44 786,91 614,45 0,12",,,,,,,"1.755,90"
Total,"111,92","34,30","316,47","968,07","1.315,19","3,84","2.749,78"
"% Variación -73,72 % 316,34 % -26,87 % -49,07 % -18,26 % 29,89 % -28,12 %",,,,,,,
